ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,RecursiveWeight,HistoricalAnchorWeight,AnchorClicks,AnchorImpressions,StabilizedPredictedClicks,StabilizedPredictedImpressions
2026-02-18,1096.5808880000002,60410.20632,6197.879999999999,1255.45,65615.55,1052.48,-0.6310179999999491,-12635.127855999996,1.071,0.08699999999999991,1059.6215002818853,31779.390314575783,953.6747918473378,43366.46910580334
2026-02-19,1108.2628960000002,58770.391319999995,6197.879999999999,1130.5,54015.15,1078.0,122.5756440000001,-2566.3808560000016,1.071,0.08699999999999991,1021.5384039731352,31677.276261257204,959.6355303771545,42272.95865993828
2026-02-20,1116.7835120000002,58484.4906,6197.879999999999,1138.83,51644.25,1012.0,123.84011800000009,-465.84148000000107,1.071,0.08699999999999991,1000.4197309217465,30253.090087854172,964.5494414139055,41927.60370566396
2026-02-21,1178.102016,61759.76844,6197.879999999999,1458.9399999999998,63206.850000000006,1129.92,-98.80217599999992,-9079.747351999999,1.071,0.08699999999999991,1179.067646302719,35245.50243149047,1028.0311841547173,44638.452437863954
2026-02-22,1223.8996640000003,63082.06344,6197.879999999999,1535.1,62280.75,1085.04,-119.96380400000012,-7016.478351999999,1.071,0.08699999999999991,1345.1727180642454,40513.44678462547,1078.2235249736882,46090.6410167088
2026-02-23,1177.857928,61647.92508,6197.879999999999,1472.03,57850.8,1081.52,-110.71095800000013,-3871.638263999997,1.058678488764033,0.09600816367671533,1178.3108442661628,35798.604301786574,1027.479393886126,44565.11183371253
2026-02-24,1111.5137280000001,60615.267479999995,6197.879999999999,1569.61,59144.4,1042.8,-265.2510079999999,-6047.8881839999995,1.04552737336377,0.1056228446836303,1119.1469783217535,33387.83885335948,970.0521152970824,43513.38992455084
2026-02-25,1092.740584,60181.70976,6197.879999999999,1400.6299999999999,54460.350000000006,1065.68,-133.86517400000005,-1784.1982079999993,1.0325396237427371,0.1151180902048896,1040.0680098434743,31192.95638086522,946.673370136767,42833.74236228054
2026-02-26,1084.123144,60027.36936,6197.879999999999,1436.33,55300.350000000006,1131.68,-174.44833399999987,-2749.9598879999976,1.0197132105386322,0.1244953838919243,1003.248099781808,31110.105201884733,934.9593279792908,42617.85858568515
2026-02-27,1085.755528,59966.66028,6197.879999999999,1339.9399999999998,55540.8,1062.16,-86.92455800000006,-3040.734424000001,1.0070461295982966,0.1337561909659511,983.0402196620778,29727.526763211234,932.510561283223,42242.05965485739
2026-02-28,1130.320568,62733.2022,6197.879999999999,1732.6399999999999,57640.8,1101.76,-391.302498,-2723.0647599999998,0.9945364016645621,0.1429019584469167,1159.193906324971,34651.42290356432,988.5091516896224,44708.739485971055
2026-03-01,1164.80312,63570.06912,6197.879999999999,1988.49,68694.15000000001,1133.44,-584.0568200000001,-12945.860096,0.9821820720669876,0.15193411537959722,1323.1738114440366,39850.891321888834,1037.7340319333546,46132.19852717828
2026-03-02,1130.957672,62212.937999999995,6197.879999999999,2012.29,65887.5,1197.68,-639.753142,-11342.120400000002,0.9699812104164385,0.16085407305688942,1159.6142811048467,35230.578581177884,988.9641545921246,44352.77942144873
