ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,CTRImpliedPredictedImpressions
2026-05-19,2097.2158969999996,67751.216064,2952.1000000000004,1548.82,56894.36,1167.66,-396.7604400000001,-3343.7169480000043,55312.63182222864
2026-05-20,2015.3535359999998,67673.926176,2952.1000000000004,1346.8,49168.2,1123.2,-151.71072000000004,4522.965018,55249.531742748346
2026-05-21,1960.364112,67096.536576,2952.1000000000004,1226.18,46365.32,1062.3600000000001,-11.562239999999928,6930.475968000004,54778.14627960603
2026-05-22,1842.0803729999998,66996.786144,2952.1000000000004,1406.74,43544.2,991.38,-423.63996000000003,9744.788741999999,54696.7092333084
2026-05-23,1953.791385,68795.64470399999,2952.1000000000004,1530.32,47544.08,999.96,-511.3902,7101.221322,56165.311673382006
2026-05-24,2112.8097759999996,69381.699168,2952.1000000000004,1408.22,47977.28,1007.76,-153.03552000000008,7132.790574000002,56643.771200431445
2026-05-25,1844.2342729999998,69256.824192,2952.1000000000004,1320.16,43511.520000000004,957.84,-281.06795999999986,11614.609656000002,56541.82227652176
2026-05-26,1728.483211,68388.775968,2952.1000000000004,991.6,37221.76,962.52,135.0082800000001,17364.600474000003,55833.14080027053
2026-05-27,1735.002626,67979.013312,2952.1000000000004,498.76,21064.920000000002,780.78,940.78248,33613.688316,55498.607307847065
2026-05-28,1686.6047310000001,67653.984192,2952.1000000000004,660.08,26067.24,822.12,630.3778800000001,28215.642155999998,55233.250948352645
2026-05-29,1670.7386989999998,67677.42288,2952.1000000000004,711.88,28220.32,864.24,530.37852,26024.946089999998,55252.38647971366
2026-05-30,1710.044875,68978.03462399999,2952.1000000000004,845.08,32406.4,902.46,354.01500000000004,22785.453132,56314.21625516126
2026-05-31,1890.8187269999999,69369.959808,2952.1000000000004,1185.48,37994.68,956.2800000000001,-15.692040000000086,17368.552344000003,56634.18709352929
2026-06-01,1753.377059,69792.435456,2952.1000000000004,1362.34,43762.32,1039.74,-441.0886800000001,11792.393808000006,56979.09957376591
2026-06-02,1632.218637,69390.03638399999,2952.1000000000004,1331.26,44220.6,987.48,-512.86524,10995.104561999997,56650.577769904594
2026-06-03,1634.192014,69171.24384,2952.1000000000004,1311.28,43435.520000000004,1047.54,-478.47528,11623.075620000001,56471.95379627306
2026-06-04,1611.754564,69262.655904,2952.1000000000004,1346.06,43848.96,1041.3,-557.50128,11273.027922,56546.58333259556
2026-06-05,1662.162369,69497.033856,2952.1000000000004,1204.72,41402.520000000004,974.22,-277.46988,13974.280008000002,56737.93135731555
2026-06-06,1773.373343,70743.592992,2952.1000000000004,1304.62,45174.4,992.1600000000001,-327.3243599999999,11115.969306000005,57755.63215355028
2026-06-07,1953.627879,71156.487648,2952.1000000000004,1455.58,51015.0,1000.74,-390.3550800000001,5457.146214,58092.72263569188
2026-06-08,1848.640367,71339.701728,2952.1000000000004,1619.12,53108.04,999.1800000000001,-761.42484,3457.8876539999987,58242.30006825214
2026-06-09,1814.6072000000001,70221.0888,2952.1000000000004,1473.34,46620.68,972.6600000000001,-559.3439999999998,9207.094650000001,57329.055574166574
2026-06-10,1801.530409,69798.36528,2952.1000000000004,1201.02,43719.0,999.1800000000001,-130.93067999999994,11841.67179,56983.94072925709
2026-06-11,1795.580171,69589.91519999999,2952.1000000000004,1118.14,40732.96,1016.34,-2.530920000000151,14736.926099999997,56813.76042551962
2026-06-12,1725.0305449999998,69615.85632,2952.1000000000004,1107.78,38969.76,954.72,-56.873400000000125,16567.603260000007,56834.93896227476
2026-06-13,1856.783299,70981.041216,2952.1000000000004,1103.34,40299.0,1040.52,83.1865200000001,16312.595988,57949.48677275811
2026-06-14,1994.6838309999998,71654.836224,2952.1000000000004,1158.84,41775.68,1001.52,132.24587999999994,15344.514432,58499.57837799149
2026-06-15,1847.829501,71730.536544,2952.1000000000004,1449.66,44004.0,998.4000000000001,-487.44251999999994,13119.060942000004,58561.38072151001
2026-06-16,1720.942538,70801.770048,2952.1000000000004,1265.4,40712.44,963.3000000000001,-316.59576,15742.618164,57803.12836492439
2026-06-17,1670.701333,70304.210496,2952.1000000000004,1266.8799999999999,42726.44,979.6800000000001,-369.6591599999999,13271.351027999997,57396.91678809584
2026-06-18,1642.355057,69957.416832,2952.1000000000004,1068.56,37372.24,959.4,-76.64363999999996,18484.681176000002,57113.791681721465
2026-06-19,1561.8153810000001,69718.4136,2952.1000000000004,933.14,33975.04,922.74,61.739880000000085,21777.091050000003,56918.66754161082
2026-06-20,1659.0877659999999,70630.431072,2952.1000000000004,975.3199999999999,35319.48,912.6,91.42967999999992,21138.285246000007,57663.24586174788
2026-06-21,1843.9763999999998,70883.401536,2952.1000000000004,1080.4,37494.6,943.02,107.47199999999994,19111.463748000002,57869.77296118639
2026-06-22,1732.179708,71070.609216,2952.1000000000004,1085.58,39561.04,964.08,-13.664159999999992,17142.749988000003,58022.61080055967
2026-06-23,1605.741851,69776.453568,2952.1000000000004,1065.6,36049.08,939.9,-108.7645199999999,19695.628524,56966.05183325106
2026-06-24,1609.91887,69420.965088,2952.1000000000004,982.72,34593.68,906.36,29.847600000000057,20900.494134000004,56675.82820991847
2026-06-25,1626.629445,69150.721536,2952.1000000000004,919.8199999999999,33173.24,914.94,148.69860000000008,22138.741248000002,56455.19922401234
2026-06-26,1588.811602,69057.069408,2952.1000000000004,830.28,31423.72,876.72,255.76295999999996,23858.208894,56378.74088161832
2026-06-27,1712.222099,70361.369472,2952.1000000000004,940.54,32955.12,885.3000000000001,201.41052000000008,23346.252696000003,57443.58183085814
2026-06-28,1861.373367,70790.203968,2952.1000000000004,1016.76,34835.36,886.08,228.21516,21764.960724000008,57793.68572519285
2026-06-29,1752.2536989999999,71094.57494399999,2952.1000000000004,959.04,35470.72,923.52,211.77851999999993,21360.182142,58042.176611569805
2026-06-30,1612.586136,69876.068256,2952.1000000000004,1016.02,32905.72,829.9200000000001,-21.46272000000008,23002.645458000003,57047.37805706711
2026-07-01,1611.768487,69328.755648,2952.1000000000004,1056.72,35184.2,878.2800000000001,-88.28723999999993,20219.513964,56600.547689485655
2026-07-02,1646.374401,69699.69715200001,2952.1000000000004,902.8,32515.84,848.64,196.20948000000007,23259.483936000004,56903.387284555865
2026-07-03,1612.6320699999999,69891.6384,2952.1000000000004,820.66,30223.68,866.58,295.3836,25767.916199999996,57060.08964650452
2026-07-04,1733.6133009999999,71345.73811199999,2952.1000000000004,852.48,30713.12,863.46,365.78148,26447.052215999996,58247.22822017511
2026-07-05,1928.870167,71871.42259199999,2952.1000000000004,943.5,32629.84,912.6,415.07916000000006,24907.010856,58676.401211984325
2026-07-06,1843.054745,71916.71088,2952.1000000000004,1295.74,32132.04,945.36,-242.65740000000005,25454.70759,58713.37493062042
2026-07-07,1793.588587,70804.905984,2952.1000000000004,1127.76,30433.44,899.34,-20.139239999999972,26294.666112000006,57805.68856802425
2026-07-08,1799.490392,70284.842592,2952.1000000000004,959.78,31616.760000000002,986.7,258.21216,24657.654606,57381.10467717952
2026-07-09,1787.268497,70250.545344,2952.1000000000004,907.98,30059.52,952.38,329.8875600000001,26228.008092000004,57353.10413104397
2026-07-10,1748.454743,70213.99046399999,2952.1000000000004,817.7,26895.64,908.7,437.14763999999997,29445.447252,57323.260436181925
2026-07-11,1842.2936209999998,71576.827008,2952.1000000000004,890.22,26761.12,852.5400000000001,414.17508,30690.811943999997,58435.89103340903
2026-07-12,2017.1655489999998,72150.243072,2952.1000000000004,794.76,27435.24,874.38,745.31652,30464.852496000007,58904.03247014756
2026-07-13,1923.621553,72127.982496,2952.1000000000004,765.9,25977.56,837.72,697.7864400000001,31942.805777999994,58885.85875879637
2026-07-14,1796.2656109999998,71101.60809600001,2952.1000000000004,776.26,26046.72,875.1600000000001,552.5602799999998,31037.896578000007,58047.91853281826
2026-07-15,1743.9120369999998,71044.334112,2952.1000000000004,802.16,25924.36,848.64,457.76675999999986,31116.941466,58001.15959660976
2026-07-16,1679.7760349999999,70701.61536,2952.1000000000004,758.5,25523.08,833.0400000000001,463.8918000000001,31250.322480000003,57721.36128081212
2026-07-17,1587.45762,70449.124896,2952.1000000000004,741.48,24070.72,843.1800000000001,398.39760000000007,32535.753978000004,57515.22605719246
