Candidate,ImpressionMeanAPE,ImpressionMedianAPE,P90APE,ImpressionBiasPct
CTRRidge,6.328836,5.9371279999999995,15.13806,6.9056
CTRGradientBoosting,6.596210999999999,5.403067999999999,16.032618,6.6234
CTRRandomForest,9.995268,9.206808,21.837497999999997,10.9587
CTRHGBR,16.282254,15.564835999999998,27.874823999999997,17.889
