ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,MLOnlyCTRPredictedImpressions
2026-06-27,1496.395784,85752.919044,3063.5000000000005,1042.22,42928.38,1282.55,142.66578500000006,34420.75718,55868.080794253714
2026-06-28,1626.746472,86275.561086,3063.5000000000005,1126.6799999999998,45377.64,1283.6799999999998,161.65240500000002,32089.365170000005,56208.58241395891
2026-06-29,1531.381384,86646.513213,3063.5000000000005,1062.72,46205.28,1337.9199999999998,150.00978499999994,31492.576234999997,56450.25795845439
2026-06-30,1409.318976,85161.458187,3063.5000000000005,1125.86,42864.03,1202.32,-15.202760000000056,33914.156765,55482.743673209945
2026-07-01,1408.6043920000002,84494.420946,3063.5000000000005,1170.96,45832.05,1272.3799999999999,-62.53679499999995,29810.82187,55048.16849036582
2026-07-02,1438.848216,84946.505904,3063.5000000000005,1000.4,42356.159999999996,1229.4399999999998,138.98171500000004,34292.82888,55342.70212538355
2026-07-03,1409.35912,85180.4343,3063.5000000000005,909.38,39370.32,1255.4299999999998,209.23004999999998,37991.15849999999,55495.10662278721
2026-07-04,1515.090616,86952.61832399998,3063.5000000000005,944.64,40007.88,1250.9099999999999,259.095215,38992.44877999999,56649.68563116261
2026-07-05,1685.7352720000001,87593.296284,3063.5000000000005,1045.5,42504.659999999996,1322.1,294.014405,36721.87498,57067.08772582498
2026-07-06,1610.73692,87648.491385,3063.5000000000005,1435.82,41856.21,1369.56,-171.88232500000004,37529.376574999995,57103.0473689076
2026-07-07,1567.505992,86293.479168,3063.5000000000005,1249.6799999999998,39643.56,1302.8899999999999,-14.26529499999998,38767.77696,56220.25605567296
2026-07-08,1572.663872,85659.651909,3063.5000000000005,1063.54,41184.99,1429.4499999999998,182.90027999999998,36354.234355,55807.31719702905
2026-07-09,1561.9825520000002,85617.852138,3063.5000000000005,1006.14,39156.48,1379.7299999999998,233.6703550000001,38669.49911,55780.08461988249
2026-07-10,1528.061288,85573.300878,3063.5000000000005,906.0999999999999,35035.11,1316.4499999999998,309.64624499999996,43413.15941,55751.05944591856
2026-07-11,1610.071736,87234.25791599999,3063.5000000000005,986.4599999999999,34859.88,1235.09,293.374015,45249.27402,56833.17400282543
2026-07-12,1762.900984,87933.108744,3063.5000000000005,880.68,35738.01,1266.7299999999998,527.9325349999999,44916.12868,57288.47575764736
2026-07-13,1681.1482480000002,87905.97866699999,3063.5000000000005,848.6999999999999,33839.19,1213.62,494.26539500000007,47095.16236499999,57270.80049538586
2026-07-14,1569.845576,86655.084867,3063.5000000000005,860.18,33929.28,1267.86,391.3968649999999,45761.001365000004,56455.84239643681
2026-07-15,1524.0911919999999,86585.282199,3063.5000000000005,888.88,33769.89,1229.4399999999998,324.2514549999999,45877.541905,56410.365914248745
2026-07-16,1468.03956,86167.59372,3063.5000000000005,840.5,33247.17,1206.84,328.5900250000001,46074.193400000004,56138.241606974414
2026-07-17,1387.3579200000001,85859.870967,3063.5000000000005,821.64,31355.28,1221.53,282.1983,47969.380865,55937.76003948382
2026-07-18,1470.700192,86901.58397699999,3063.5000000000005,778.18,31160.25,1174.07,395.36458,49219.836814999995,56616.43672193289
2026-07-19,1682.560776,86790.71454299998,3063.5000000000005,778.18,35867.7,1244.1299999999999,568.519865,43642.61258499999,56544.20521581766
2026-07-20,1563.37896,86788.93310099999,3063.5000000000005,769.9799999999999,33078.87,1193.28,479.61165,46880.41159499999,56543.04460523209
