page,ForecastDate,HorizonDay,PredictedClicks,PredictedImpressions,PredictedCTR,PredictedTrafficValue,ForecastMethod,StrategicMLAdjusted,StrategicMLPrimary
https://demo.example.com/page-003,2026-08-19,3,0.008008,0.744688,0.010753496766431041,0.003608,RecursiveDailyML,False,True
https://demo.example.com/page-002,2026-08-19,3,0.009555,0.554856,0.01722068428565249,0.0042639999999999996,RecursiveDailyML,False,True
https://demo.example.com/page-004,2026-08-19,3,0.008008,0.744688,0.010753496766431041,0.003608,RecursiveDailyML,False,True
https://demo.example.com/,2026-08-19,3,293.57091399999996,3497.195026,0.08394467904061349,132.26821399999997,RecursiveDailyML,False,True
https://demo.example.com/page-007,2026-08-20,4,0.026480999999999998,1.498892,0.017667050060978375,0.01189,RecursiveDailyML,False,True
https://demo.example.com/page-005,2026-08-20,4,0.009918999999999999,0.554856,0.01787671035367735,0.004509999999999999,RecursiveDailyML,False,True
https://demo.example.com/page-006,2026-08-20,4,0.073346,2.5637079999999997,0.028609342405609375,0.033046,RecursiveDailyML,False,True
https://demo.example.com/page-008,2026-08-20,4,0.009099999999999999,0.8838900000000001,0.010295398748713073,0.0040999999999999995,RecursiveDailyML,False,True
https://demo.example.com/page-014,2026-08-20,4,0.009099999999999999,0.884134,0.010292557463009,0.0040999999999999995,RecursiveDailyML,False,True
https://demo.example.com/page-010,2026-08-20,4,0.015742999999999997,0.724314,0.021735048611513787,0.007051999999999999,RecursiveDailyML,False,True
https://demo.example.com/page-011,2026-08-20,4,0.009555,0.724314,0.01319179250987831,0.004346,RecursiveDailyML,False,True
https://demo.example.com/page-012,2026-08-20,4,0.009736999999999999,1.026508,0.009485556858787266,0.004428,RecursiveDailyML,False,True
https://demo.example.com/page-013,2026-08-20,4,0.016835,1.014186,0.016599519220340253,0.0075439999999999995,RecursiveDailyML,False,True
https://demo.example.com/page-004,2026-08-20,4,0.009099999999999999,0.724314,0.012563611914169819,0.0040999999999999995,RecursiveDailyML,False,True
https://demo.example.com/page-009,2026-08-20,4,0.009099999999999999,0.901458,0.010094757603792965,0.0040999999999999995,RecursiveDailyML,False,True
https://demo.example.com/page-003,2026-08-20,4,0.009099999999999999,0.922076,0.009869034656579283,0.0040999999999999995,RecursiveDailyML,False,True
https://demo.example.com/page-002,2026-08-20,4,0.009918999999999999,0.554856,0.01787671035367735,0.004509999999999999,RecursiveDailyML,False,True
https://demo.example.com/page-015,2026-08-20,4,0.009463999999999998,0.84241,0.011234434539001198,0.0042639999999999996,RecursiveDailyML,False,True
https://demo.example.com/,2026-08-20,4,294.046753,3444.545804,0.08536590010170178,132.482562,RecursiveDailyML,False,True
https://demo.example.com/page-007,2026-08-21,5,0.066976,1.498892,0.04468367300646077,0.030175999999999998,RecursiveDailyML,False,True
https://demo.example.com/page-005,2026-08-21,5,0.010647,0.554856,0.019188762489727063,0.004756,RecursiveDailyML,False,True
https://demo.example.com/page-006,2026-08-21,5,0.074256,2.5637079999999997,0.02896429702602637,0.033456,RecursiveDailyML,False,True
https://demo.example.com/page-008,2026-08-21,5,0.009555,0.9359839999999999,0.010208507837740816,0.0042639999999999996,RecursiveDailyML,False,True
https://demo.example.com/page-014,2026-08-21,5,0.009736999999999999,1.026508,0.009485556858787266,0.004428,RecursiveDailyML,False,True
https://demo.example.com/page-010,2026-08-21,5,0.016562,0.744688,0.022240186494209654,0.007462,RecursiveDailyML,False,True
https://demo.example.com/page-011,2026-08-21,5,0.010464999999999999,0.744688,0.01405286509249511,0.004674,RecursiveDailyML,False,True
https://demo.example.com/page-012,2026-08-21,5,0.010282999999999999,1.121302,0.009170589190066546,0.004674,RecursiveDailyML,False,True
https://demo.example.com/page-013,2026-08-21,5,0.017289999999999996,1.1041,0.015659813422697216,0.007789999999999999,RecursiveDailyML,False,True
https://demo.example.com/page-004,2026-08-21,5,0.009918999999999999,0.922076,0.010757247775671419,0.004509999999999999,RecursiveDailyML,False,True
https://demo.example.com/page-009,2026-08-21,5,0.009555,0.921832,0.010365229239167223,0.0042639999999999996,RecursiveDailyML,False,True
https://demo.example.com/page-003,2026-08-21,5,0.009828,1.026508,0.009574206922888084,0.004428,RecursiveDailyML,False,True
https://demo.example.com/page-002,2026-08-21,5,0.010829,0.554856,0.019516775523739493,0.004837999999999999,RecursiveDailyML,False,True
https://demo.example.com/page-015,2026-08-21,5,0.010555999999999998,1.026508,0.010283407435694605,0.004756,RecursiveDailyML,False,True
https://demo.example.com/,2026-08-21,5,296.68193099999996,3415.6867039999997,0.0868586485559596,133.66984,RecursiveDailyML,False,True
https://demo.example.com/page-005,2026-08-22,6,0.010829,0.554856,0.019516775523739493,0.004837999999999999,RecursiveDailyML,False,True
https://demo.example.com/page-006,2026-08-22,6,0.03367,2.353502,0.014306340083841015,0.015169999999999998,RecursiveDailyML,False,True
https://demo.example.com/page-007,2026-08-22,6,0.015925,1.281488,0.012426959909105667,0.007216,RecursiveDailyML,False,True
https://demo.example.com/page-014,2026-08-22,6,0.010647,1.026508,0.010372057499795423,0.004756,RecursiveDailyML,False,True
https://demo.example.com/page-008,2026-08-22,6,0.010100999999999999,0.977586,0.010332594779385139,0.004509999999999999,RecursiveDailyML,False,True
https://demo.example.com/page-010,2026-08-22,6,0.016562,0.744688,0.022240186494209654,0.007462,RecursiveDailyML,False,True
https://demo.example.com/page-011,2026-08-22,6,0.010464999999999999,0.744688,0.01405286509249511,0.004674,RecursiveDailyML,False,True
https://demo.example.com/page-012,2026-08-22,6,0.010647,1.074942,0.009904720440730755,0.004756,RecursiveDailyML,False,True
https://demo.example.com/page-013,2026-08-22,6,0.016835,0.943914,0.0178353112677638,0.0075439999999999995,RecursiveDailyML,False,True
https://demo.example.com/page-004,2026-08-22,6,0.010100999999999999,0.9638,0.01048039012243204,0.004509999999999999,RecursiveDailyML,False,True
https://demo.example.com/page-009,2026-08-22,6,0.010100999999999999,1.009672,0.010004239000388245,0.004509999999999999,RecursiveDailyML,False,True
https://demo.example.com/page-003,2026-08-22,6,0.010282999999999999,1.12118,0.009171587077900068,0.004592,RecursiveDailyML,False,True
https://demo.example.com/page-015,2026-08-22,6,0.010464999999999999,0.9638,0.010858061838555715,0.004674,RecursiveDailyML,False,True
https://demo.example.com/page-002,2026-08-22,6,0.010829,0.554856,0.019516775523739493,0.004837999999999999,RecursiveDailyML,False,True
https://demo.example.com/,2026-08-22,6,298.969762,3571.544388,0.08370881879685042,134.700662,RecursiveDailyML,False,True
https://demo.example.com/page-008,2026-08-23,7,0.010282999999999999,1.117032,0.009205644959141725,0.004592,RecursiveDailyML,False,True
https://demo.example.com/page-015,2026-08-23,7,0.010647,1.178398,0.009035147717494429,0.004756,RecursiveDailyML,False,True
