BacktestClass,HorizonDays,CutoffDate,ActualStartDate,ActualEndDate,SourceMinDate,SourceMaxDate,TrainingCalendarDays,TrainingRows,KnownPagesAtCutoff,PredictedClicks,ActualClicks,ClickTotalErrorPct,ClickBiasPct,ClickDailyMAE,ClickDailyRMSE,ClickWAPE,PredictedImpressions,ActualImpressions,ImpressionTotalErrorPct,ImpressionBiasPct,ImpressionDailyMAE,ImpressionDailyRMSE,ImpressionWAPE,PredictedCTR,ActualCTR,CTRAbsoluteError,NewFuturePageCount,NewFuturePageActualClicks,NewFuturePageActualImpressions,BacktestMethod,ForecastMethod
Operational,7,2026-07-17,2026-07-18,2026-07-24,2026-06-18,2026-08-16,30,22112.309999999998,1353.0,4383.537499999999,4011.92,1.21,1.21,28.719999999999995,46.1736,6.611999999999999,146104.47699999998,124396.37999999999,0.87,0.87,851.031,960.7728,2.7935999999999996,0.03000275960058363,0.026754,9.1e-05,223.25,175.37999999999997,2971.3399999999997,LeakageSafeCalendarHoldout,RecursiveDailyML
Operational,14,2026-07-17,2026-07-18,2026-07-31,2026-06-18,2026-08-16,30,22112.309999999998,1353.0,8833.565499999999,8030.88,1.89,1.89,29.168,44.8272,6.707999999999999,292114.553,245626.02,2.14,2.14,836.3159999999999,1002.0599000000001,2.7864,0.030240073318086272,0.027122,6.6e-05,223.25,175.37999999999997,2971.3399999999997,LeakageSafeCalendarHoldout,RecursiveDailyML
Operational,30,2026-07-17,2026-07-18,2026-08-16,2026-06-18,2026-08-16,30,22112.309999999998,1353.0,18470.755,17966.96,4.77,-4.77,54.10399999999999,94.6341,11.927999999999999,609585.9659999999,536935.44,2.5,-2.5,1547.3879999999997,2057.4575,5.047199999999999,0.03030049251494744,0.027758,0.000647,223.25,175.37999999999997,2971.3399999999997,LeakageSafeCalendarHoldout,RecursiveDailyML
