HorizonDays,Metric,RecentLevel,DailyLogTrendSlope,TrendPhi,SeasonalWindowDays,TrendWindowDays,BaseR2,MinRecursiveWeight,MaxRecursiveWeight
90,Clicks,1628.055,0.0032099999999999997,0.8245,182,84,0.9118114609714599,0.3794648414536558,0.855
90,Impressions,57614.2875,0.000267730347134078,0.8245,182,84,0.9118114609714599,0.3794648414536558,0.855
