ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,CTREnsemblePredictedImpressions
2026-05-19,1603.7533329999999,66339.73239599999,2144.4500000000003,1925.56,86838.76,1631.7299999999998,-337.2463740000001,-4972.707256000006,51959.46945590149
2026-05-20,1541.1527039999999,66264.05271399999,2144.4500000000003,1674.3999999999999,75046.2,1569.6,-128.95411200000004,6726.460795999999,51900.19462943945
2026-05-21,1499.101968,65698.692064,2144.4500000000003,1524.4399999999998,70768.12,1484.5799999999997,-9.82790399999994,10306.861696000005,51457.38549584375
2026-05-22,1408.6496969999998,65601.019766,2144.4500000000003,1748.9199999999998,66462.2,1385.3899999999999,-360.0939660000001,14492.249923999998,51380.885326166775
2026-05-23,1494.0757649999998,67362.402106,2144.4500000000003,1902.56,72567.28,1397.3799999999999,-434.68167,10560.790684,52760.45814911824
2026-05-24,1615.6780639999997,67936.247102,2144.4500000000003,1750.7599999999998,73228.48,1408.2799999999997,-130.08019200000007,10607.739828000002,53209.912502718886
2026-05-25,1410.2967969999997,67813.973688,2144.4500000000003,1641.28,66412.31999999999,1338.5199999999998,-238.9077659999999,17273.009232000004,53114.143926474455
2026-05-26,1321.781279,66964.009802,2144.4500000000003,1232.8,56812.159999999996,1345.0599999999997,114.7570380000001,25824.277628000003,52448.42413867653
2026-05-27,1326.7667139999999,66562.783868,2144.4500000000003,620.0799999999999,32151.719999999998,1091.09,799.665108,49989.58775199999,52134.17073563076
2026-05-28,1289.756559,66244.526188,2144.4500000000003,820.64,39786.84,1148.86,535.8211980000001,41961.72423199999,51884.90080936161
2026-05-29,1277.6237109999997,66267.47657,2144.4500000000003,885.04,43073.119999999995,1207.7199999999998,450.82174200000003,38703.76598,51902.87630654046
2026-05-30,1307.681375,67540.99223599999,2144.4500000000003,1050.6399999999999,49462.399999999994,1261.1299999999999,300.9127500000001,33886.058504,52900.33583734087
2026-05-31,1445.920203,67924.752312,2144.4500000000003,1473.84,57991.88,1336.34,-13.338234000000073,25830.154768000004,53200.90940354535
2026-06-01,1340.8177509999998,68338.426384,2144.4500000000003,1693.7199999999998,66795.12,1452.9699999999998,-374.9253780000001,17537.406176000008,53524.91259940507
2026-06-02,1248.167193,67944.410626,2144.4500000000003,1655.08,67494.59999999999,1379.9399999999998,-435.935454,16351.693963999995,53216.30644433744
2026-06-03,1249.676246,67730.17626,2144.4500000000003,1630.2399999999998,66296.31999999999,1463.87,-406.703988,17285.59964,53048.51101323539
