Model,Algorithm,MAE,RMSE,R2,TrainRows,TestRows,ValidationMethod,Selected,ForecastFamily,BaseStepDays,SupportedHorizons
Next_Clicks,LightGBM,0.13631131621383769,1.8939319374096577,1.0784598604814568,30739.499999999996,11186.999999999998,time_aware_holdout,0.8999999999999999,RecursiveDailyML,1,"7,14,30"
Next_Impressions,LightGBM,2.2468449124518854,18.035059590185753,1.1234863448562789,30739.499999999996,11186.999999999998,time_aware_holdout,0.8999999999999999,RecursiveDailyML,1,"7,14,30"
