HorizonDays,Method,ClickTotalErrorPct,ClickWAPE,ClickBiasPct,ImpressionTotalErrorPct,ImpressionWAPE,ImpressionBiasPct
90,RecursiveDailyML,13.77,27.220799999999997,13.77,68.68,66.144,68.68
90,StrategicDampedEnsembleML,23.67,35.309999999999995,23.67,54.45,52.5504,54.45
