HorizonDays,Metric,Method,SelectedEnsemble,Predicted90DClicks,PredictedCTR,BiasCorrection,ImpliedImpressionTotal,ScaleFactor,TotalErrorPct,WAPE,BiasPct
90,impressions,RecursiveDailyML,nan,,,1.12,,0.9299999999999999,68.68,72.34500000000001,68.68
90,impressions,MLOnlyCTREnsembleImpressions,MLWeightedCTR,96697.78319999999,0.024287,1.04362048,5063587.9946,0.70889808,28.58,35.847,28.58
