HorizonDays,Metric,PrimaryMLMethod,AppliedMethod,SelectedMLModel,TrainingSamples,RequestedTargetTotal,StatisticalPrimaryUsed,PreservedTotal,AdjustableBaselineTotal,RequestedCumulativeTarget,RequiredTailTotal,RequiredTailScale,AppliedTailScale,GuardrailHit,Applied,Status,MLMembers,PredictedCTR,BiasCorrection
90,clicks,DirectHorizonCalibratedML,RecursiveDailyML,DirectHGBR,385.85999999999996,225355.44422857568,0.0,19448.047619,50189.16010000001,194343.22713290015,165156.72743676507,3.8331058627825203,0.96,1.06,0.0,ML_FALLBACK_RECURSIVE,nan,,
90,impressions,MLOnlyCTREnsembleImpressions,MLOnlyCTREnsembleImpressions,MLMedianCTR,,2587288.6945192567,0.0,690606.501585,1886856.2438,2231239.7916037627,1343858.690965664,0.8296200968938695,0.7513540500170893,0.0,0.77,APPLIED,"CTRGradientBoosting,CTRRidge,CTRRandomForest,CTRHGBR",0.0286242758424704,0.8195132399999999
180,clicks,DirectHorizonCalibratedML,RecursiveDailyML,DirectRandomForest,287.76,398097.754436521,0.0,58093.70089600001,75026.12770000001,343313.6597892933,263700.6488918478,4.094144243287067,0.96,1.06,0.0,ML_FALLBACK_RECURSIVE,nan,,
180,impressions,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,,5713824.036512257,0.0,,,,,,,0.0,0.77,VALIDATED_ML_BASELINE,nan,,
