HorizonDays,Metric,RecentLevel,DailyLogTrendSlope,TrendPhi,SeasonalWindowDays,TrendWindowDays,BaseR2,MinRecursiveWeight,MaxRecursiveWeight
180,Clicks,1056.825,-0.00252,0.8439,182,84,0.7576184101276278,0.1515,1.062
180,Impressions,42682.6125,-0.00252,0.8439,182,84,0.7576184101276278,0.1515,1.062
