Model,Algorithm,Feature,MeanAbsSHAP,MeanSHAP,PositiveImpactRows,NegativeImpactRows,ZeroImpactRows,ImportanceRank
Next_Impressions,LightGBM,month_num,0.2721390285360981,0.18264580197524274,199,1,0,11
Next_Impressions,LightGBM,clicks_lag_1,0.25009613864441543,-0.13654836804248502,6,194,0,12
Next_Impressions,LightGBM,clicks,0.23138219864816506,-0.01633167621334914,16,184,0,13
Next_Impressions,LightGBM,engaged_sessions,0.21833204654142704,-0.09510322135515906,188,12,0,14
Next_Impressions,LightGBM,average_session_duration,0.21733068337671269,-0.03265240137898515,109,91,0,15
Next_Impressions,LightGBM,CheckoutRate,0.21464345132187776,-0.15690889256606086,34,166,0,16
Next_Impressions,LightGBM,position,0.19962790285320228,-0.025396594377516915,61,139,0,17
Next_Impressions,LightGBM,position_lag_1,0.1752695437793846,-0.1255830049031248,2,198,0,18
Next_Impressions,LightGBM,CartRate,0.16835599925745226,0.09538997129599928,166,34,0,19
Next_Impressions,LightGBM,day_of_month,0.1655837467727393,0.07570441699314502,160,40,0,20
Next_Impressions,LightGBM,users,0.16276236918460624,0.1050725616271672,192,8,0,21
Next_Impressions,LightGBM,engagement_rate,0.1568277526092738,-0.04863062458051875,44,156,0,22
Next_Impressions,LightGBM,CTR,0.13927161687411044,0.10404244755448457,181,19,0,23
Next_Impressions,LightGBM,RankStrength,0.1301828999472533,0.0623157856140014,67,133,0,24
Next_Impressions,LightGBM,is_weekend,0.12840564896931167,0.1095259631371225,199,1,0,25
Next_Impressions,LightGBM,checkouts,0.12815888857748753,0.01831435692270198,19,181,0,26
Next_Impressions,LightGBM,OrganicConversionRate,0.11877014270848073,-0.0061352311595201554,109,91,0,27
Next_Impressions,LightGBM,ctr_change,0.0973865019605236,-0.010520017036921037,182,18,0,28
Next_Impressions,LightGBM,CTR_lag_1,0.07548919883938249,0.02859022083960504,175,25,0,29
Next_Impressions,LightGBM,position_lag_7_avg,0.07017744785498294,-0.04666907719682166,83,117,0,30
Next_Impressions,LightGBM,RevenuePerOrganicClick,0.06483789157905334,0.056264286080996706,200,0,0,31
Next_Impressions,LightGBM,clicks_change,0.0636569172424724,0.031573684662058774,197,3,0,32
Next_Impressions,LightGBM,add_to_carts,0.05362635150470705,0.03868884531902355,165,35,0,33
Next_Impressions,LightGBM,TrafficValue_lag_1,0.03503853931577674,-0.01701877278542448,46,154,0,34
Next_Impressions,LightGBM,purchases,0.031460003928635384,0.004801562158271655,1,199,0,35
Next_Impressions,LightGBM,revenue,0.03102643746621254,0.012670899125738702,194,6,0,36
Next_Impressions,LightGBM,RevenuePerOrganicSession,0.029479483106146898,-0.005215345142782215,2,198,0,37
Next_Impressions,LightGBM,TrafficValue_lag_7_avg,0.02516528621231557,-0.007743299291822955,34,166,0,38
Next_Impressions,LightGBM,TrafficValue,0.015331744551245804,-0.01198753260732531,6,194,0,39
Next_Impressions,LightGBM,is_pre_holiday,0.01152639836211237,0.01000224651257685,200,0,0,40
Next_Impressions,LightGBM,quarter,0.003061590589171642,-0.00265675216415721,0,200,0,41
Next_Impressions,LightGBM,VisibilityScore,0.000596805486139555,0.00035509493711664,199,1,0,42
Next_Impressions,LightGBM,Top10Flag,0.0,0.0,0,0,200,43
Next_Impressions,LightGBM,Top3Flag,0.0,0.0,0,0,200,44
Next_Impressions,LightGBM,Page2Flag,0.0,0.0,0,0,200,45
Next_Impressions,LightGBM,is_holiday,0.0,0.0,0,0,200,46
