ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError
2026-05-19,2079.5922339999997,79748.82724199998,2617.8999999999996,2365.0899999999997,59140.19,1556.88,-350.4717220000001,-3772.398608000005
2026-05-20,1998.417792,79657.850603,2617.8999999999996,2056.6,51109.05,1497.6000000000001,-134.01113600000005,5102.832328
2026-05-21,1943.890464,78978.214928,2617.8999999999996,1872.4099999999999,48195.53,1416.48,-10.213311999999938,7818.998528000005
2026-05-22,1826.600706,78860.80035699999,2617.8999999999996,2148.1299999999997,45263.05,1321.8400000000001,-374.2152980000001,10994.120631999998
2026-05-23,1937.37297,80978.20678699999,2617.8999999999996,2336.8399999999997,49420.82,1333.28,-451.72801000000004,8011.634312
2026-05-24,2095.0550719999997,81668.04172899999,2617.8999999999996,2150.39,49871.12,1343.68,-135.18137600000009,8047.250904000002
2026-05-25,1828.7365059999997,81521.053476,2617.8999999999996,2015.9199999999998,45229.08,1277.1200000000001,-248.2766979999999,13103.662176000003
2026-05-26,1713.958142,80499.28837899999,2617.8999999999996,1514.1999999999998,38691.04,1283.3600000000001,119.2573140000001,19590.831304000003
2026-05-27,1720.422772,80016.963586,2617.8999999999996,761.6199999999999,21896.43,1041.04,831.024524,37923.135535999994
2026-05-28,1672.431582,79634.377226,2617.8999999999996,1007.9599999999999,27096.210000000003,1096.16,556.8337940000001,31833.032175999997
2026-05-29,1656.698878,79661.966515,2617.8999999999996,1087.06,29334.280000000002,1152.32,468.501026,29361.477639999997
2026-05-30,1695.67475,81192.89492199999,2617.8999999999996,1290.4599999999998,33685.6,1203.28,312.7132500000001,25706.665072
2026-05-31,1874.9294939999997,81654.223524,2617.8999999999996,1810.2599999999998,39494.47,1275.04,-13.861302000000077,19595.289824000003
2026-06-01,1738.6427979999999,82151.512568,2617.8999999999996,2080.33,45489.78,1386.32,-389.6283340000001,13304.239168000007
2026-06-02,1618.502514,81677.85532699998,2617.8999999999996,2032.87,45966.15,1316.64,-453.03096200000005,12404.733351999996
2026-06-03,1620.459308,81420.31826999999,2617.8999999999996,2002.36,45150.08,1396.72,-422.653164,13113.213520000001
2026-06-04,1598.210408,81527.91788699999,2617.8999999999996,2055.47,45579.840000000004,1388.4,-492.459464,12718.287912
2026-06-05,1648.194618,81803.80026799999,2617.8999999999996,1839.6399999999999,43036.83,1298.96,-245.09839399999998,15765.854368000002
2026-06-06,1758.4710460000001,83271.104251,2617.8999999999996,1992.1899999999998,46957.6,1322.88,-289.1365179999999,12541.093576000005
2026-06-07,1937.2108379999997,83757.11566899999,2617.8999999999996,2222.7099999999996,53028.75,1334.32,-344.8136540000001,6156.780344
2026-06-08,1833.105574,83972.773909,2617.8999999999996,2472.4399999999996,55204.41,1332.24,-672.591942,3901.206583999998
2026-06-09,1799.3584,82656.07327499999,2617.8999999999996,2249.83,48460.97,1296.88,-494.0871999999999,10387.4914
2026-06-10,1786.391498,82158.49246499999,2617.8999999999996,1833.9899999999998,45444.75,1332.24,-115.65543399999997,13359.83484
2026-06-11,1780.491262,81913.12934999999,2617.8999999999996,1707.4299999999998,42340.840000000004,1355.1200000000001,-2.2356460000001337,16626.275599999997
2026-06-12,1710.5344899999998,81943.66421,2617.8999999999996,1691.61,40508.04,1272.96,-50.23817000000012,18691.654960000007
2026-06-13,1841.180078,83550.60059799999,2617.8999999999996,1684.83,41889.75,1387.3600000000001,73.4814260000001,18403.954448
2026-06-14,1977.921782,84343.71347199999,2617.8999999999996,1769.58,43424.72,1335.3600000000001,116.81719399999997,17311.759872
2026-06-15,1832.301522,84432.819057,2617.8999999999996,2213.6699999999996,45741.0,1331.2,-430.574226,14800.991832000003
2026-06-16,1706.480836,83339.58349399999,2617.8999999999996,1932.2999999999997,42319.51,1284.4,-279.659588,17760.902544
2026-06-17,1656.661826,82753.91443799999,2617.8999999999996,1934.5599999999997,44413.01,1306.24,-326.5322579999999,14972.806287999996
2026-06-18,1628.553754,82345.70939599999,2617.8999999999996,1631.7199999999998,38847.46,1279.2,-67.70188199999997,20854.512096000002
