HorizonDays,Metric,BaselineTotalErrorPct,CandidateTotalErrorPct,BaselineWAPE,CandidateWAPE,PromoteCandidate
90,clicks,13.77,32.63,20.352,39.0292,0.0
90,impressions,68.68,69.45,55.12,73.71240000000002,0.0
