ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,LifecycleCalibratedImpressions
2026-05-19,2097.2158969999996,53636.379384,2645.75,2302.3,83095.70999999999,1691.61,-400.0667770000001,-5144.179920000007,66350.68081017386
2026-05-20,2015.3535359999998,53575.191556,2645.75,2002.0000000000002,71811.45,1627.1999999999998,-152.97497600000005,6958.40772,66274.98863833598
2026-05-21,1960.364112,53118.091456,2645.75,1822.7,67717.76999999999,1539.06,-11.658591999999928,10662.270720000006,65709.53468373058
2026-05-22,1842.0803729999998,53039.122364,2645.75,2091.1000000000004,63597.44999999999,1436.2299999999998,-427.1702930000001,14991.982679999997,65611.84626632923
2026-05-23,1953.791385,54463.218724,2645.75,2274.8,69439.37999999999,1448.6599999999999,-515.651785,10924.95588,67373.51929703118
2026-05-24,2112.8097759999996,54927.178508000005,2645.75,2093.3,70072.07999999999,1459.9599999999998,-154.31081600000007,10973.523960000002,67947.45899785528
2026-05-25,1844.2342729999998,54828.319152000004,2645.75,1962.4,63549.719999999994,1387.6399999999999,-283.4101929999998,17868.630240000002,67825.16540439524
2026-05-26,1728.483211,54141.114308000004,2645.75,1474.0000000000002,54363.35999999999,1394.4199999999998,136.1333490000001,26714.769960000005,66975.06124413846
2026-05-27,1735.002626,53816.718872000005,2645.75,741.4000000000001,30765.869999999995,1131.1299999999999,948.622334,51713.36663999999,66573.76909359607
2026-05-28,1686.6047310000001,53559.404152,2645.75,981.2,38071.88999999999,1191.02,635.6310290000001,43408.680239999994,66255.45888976504
2026-05-29,1670.7386989999998,53577.95978,2645.75,1058.2,41216.52,1252.04,534.7983409999999,40038.3786,66278.41305939393
2026-05-30,1710.044875,54607.610744,2645.75,1256.2,47330.399999999994,1307.4099999999999,356.96512500000006,35054.54328,67552.13890075136
2026-05-31,1890.8187269999999,54917.884848,2645.75,1762.2,55492.229999999996,1385.3799999999999,-15.822807000000086,26720.849760000005,67935.9623108063
2026-06-01,1753.377059,55252.34473600001,2645.75,2025.1000000000001,63916.01999999999,1506.29,-444.7644190000001,18142.14432000001,68349.70465373399
2026-06-02,1632.218637,54933.778803999994,2645.75,1978.9,64585.34999999999,1430.58,-517.1391169999999,16915.545479999993,67955.62386912694
2026-06-03,1634.192014,54760.56804,2645.75,1949.2,63438.719999999994,1517.59,-482.46257399999996,17881.6548,67741.35414684068
2026-06-04,1611.754564,54832.935924000005,2645.75,2000.9,64042.55999999999,1508.55,-562.147124,17343.11988,67830.87656478421
2026-06-05,1662.162369,55018.485136,2645.75,1790.8000000000002,60469.469999999994,1411.37,-279.782129,21498.892320000003,68060.40951763045
