Model,Algorithm,MAE,RMSE,R2,TrainRows,TestRows,ValidationMethod,Selected,ForecastFamily,BaseStepDays,SupportedHorizons
Next_Clicks,RandomForest,0.11028570679444893,1.2209143996793554,0.9479268569322113,107199.95,21941.399999999998,time_aware_holdout,1.03,RecursiveDailyML,1,"7,14,30,90,180,365"
Next_Impressions,LightGBM,1.8522022299257497,13.109846881008881,0.9685134583889229,107199.95,21941.399999999998,time_aware_holdout,1.03,RecursiveDailyML,1,"7,14,30,90,180,365"
