ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError
2026-03-08,1176.0047929999998,59573.370010000006,4060.68,1651.89,66417.54,1427.76,-1051.4459060000002,-20934.724901999998
2026-03-09,1134.4336879999998,58398.324490000006,4060.68,1824.9,65572.12,1486.0800000000002,-1324.7684960000001,-20963.758998
2026-03-10,1063.128781,57745.397600000004,4060.68,1923.65,67382.68,1482.8400000000001,-1527.9070020000001,-23148.98352
2026-03-11,1053.9612349999998,57338.47922000001,4060.68,1807.52,71346.56,1490.4,-1381.16887,-27208.045643999998
2026-03-12,1054.0649179999998,57332.21703000001,4060.68,1838.3300000000002,69954.2,1478.5200000000002,-1422.406156,-25888.046106
2026-03-13,1051.4549739999998,57397.29204,4060.68,1794.88,67137.5,1469.88,-1366.691708,-23162.602008
2026-03-14,1138.2742389999996,60135.141220000005,4060.68,1996.3300000000002,78901.22,1533.6000000000001,-1550.9838380000003,-32411.098044000002
2026-03-15,1178.983673,61939.034080000005,4060.68,2181.98,82520.7,1462.3200000000002,-1759.754866,-34574.894016
2026-03-16,1141.0167559999998,60653.12935,4060.68,1598.96,65615.58,1441.8000000000002,-1015.086952,-19406.23737
2026-03-17,1116.5355839999997,59423.01574,4060.68,1534.18,63970.659999999996,1350.0,-952.4193280000001,-18713.819748
2026-03-18,1111.4274039999998,59184.99543,4060.68,1414.1000000000001,54970.34,1306.8000000000002,-796.359768,-10321.317785999998
2026-03-19,1120.2167049999998,59319.949590000004,4060.68,947.21,42341.52,1194.48,-161.1926100000001,1787.1569820000009
2026-03-20,1116.009572,59293.326290000005,4060.68,580.65,27235.48,986.0400000000001,326.4795760000001,16137.438642000001
2026-03-21,1208.8239399999998,61822.82095000001,4060.68,805.01,33319.06,1115.64,117.38651999999996,12144.260310000001
2026-03-22,1234.682844,63257.425,4060.68,1012.7800000000001,38397.32,1203.1200000000001,-135.77624799999995,8330.985
2026-03-23,1164.0585639999997,62105.06566000001,4060.68,999.35,39997.14,1208.52,-187.7204880000001,5992.077468000001
2026-03-24,1123.1682999999998,60629.9331,4060.68,956.69,38376.0,1218.24,-170.9886,6488.1343799999995
2026-03-25,1107.717072,60124.13979000001,4060.68,1012.7800000000001,39810.18,1221.48,-261.55542400000013,4765.260942000003
2026-03-26,1106.7234699999997,60106.04171000001,4060.68,913.24,39152.54,1163.16,-128.97974000000008,5377.987758000004
2026-03-27,1117.1149889999997,60246.202170000004,4060.68,919.5600000000001,40375.979999999996,1229.0400000000002,-127.16533800000003,4313.614266000001
2026-03-28,1221.9544449999999,62859.27549,4060.68,1014.36,43870.82,1284.1200000000001,-150.50569,2842.1608019999976
2026-03-29,1255.3458279999998,64093.62113000001,4060.68,1092.57,45076.219999999994,1286.28,-222.3663760000001,2570.824074
2026-03-30,1201.5949129999997,62892.39407000001,4060.68,1021.47,42010.24,1257.1200000000001,-180.2149460000001,4635.4648860000025
2026-03-31,1138.9939209999998,61038.31844000001,4060.68,910.08,40512.1,1238.76,-92.77088200000007,4745.816712000002
2026-04-01,1144.4978939999999,62193.704430000005,4060.68,1041.22,42412.86,1248.48,-263.27834800000005,3757.0504140000003
2026-04-02,1130.5562219999997,61061.663080000006,4060.68,969.33,42087.32,1231.2,-180.62972400000012,3263.9901840000007
2026-04-03,1130.8501509999999,60666.24641000001,4060.68,902.97,38376.82,1200.96,-91.29854199999994,6513.103818
2026-04-04,1204.0637239999999,63184.23672,4060.68,1108.3700000000001,42773.659999999996,1346.76,-294.369208,4116.2278559999995
2026-04-05,1237.5348219999996,63982.15131000001,4060.68,1265.5800000000002,47857.659999999996,1263.6000000000001,-472.1509240000001,-153.97816199999872
2026-04-06,1182.6215659999998,62591.128820000005,4060.68,1406.99,49733.0,1237.68,-716.2909720000001,-2924.1995640000005
2026-04-07,1129.669513,61072.76582,4060.68,1347.74,48056.92,1335.96,-689.2481459999999,-2406.536964000001
2026-04-08,1125.03973,60638.243270000006,4060.68,1151.03,44029.079999999994,1240.92,-429.89465999999993,1116.7070459999998
2026-04-09,1117.9255139999998,60578.33067,4060.68,1222.13,43545.28,1250.64,-532.3423880000001,1534.4235659999997
2026-04-10,1118.1848819999998,60547.34477,4060.68,1020.6800000000001,38480.96,1220.4,-261.785444,6329.731745999999
2026-04-11,1196.2284349999998,63198.307590000004,4060.68,1312.19,43603.5,1210.68,-575.6112700000001,3336.8453820000004
2026-04-12,1219.1815399999998,64099.22178000001,4060.68,1410.15,48228.299999999996,1249.5600000000002,-684.31268,-423.5245559999986
2026-04-13,1165.809298,62694.601420000006,4060.68,1387.24,45691.219999999994,1297.0800000000002,-706.446116,993.7919159999993
2026-04-14,1115.1487569999997,61100.23106,4060.68,1425.16,44914.68,1280.88,-807.5131940000001,601.8983880000029
2026-04-15,1111.1443889999998,60607.11063,4060.68,1199.22,44917.14,1256.0400000000002,-508.32013800000004,249.89117399999947
2026-04-16,1108.3466599999997,60521.477940000004,4060.68,1309.03,44880.24,1266.8400000000001,-658.43172,224.26981199999895
2026-04-17,1110.8878029999998,60615.01281,4060.68,1223.71,43638.759999999995,1230.1200000000001,-541.434326,1471.5145379999988
2026-04-18,1198.0140509999999,63302.49794000001,4060.68,1396.72,48965.479999999996,1244.16,-687.262342,-1689.6941879999977
2026-04-19,1220.0524129999997,64343.229170000006,4060.68,1557.88,52656.299999999996,1294.92,-881.6699460000001,-4462.501134
2026-04-20,1161.1075039999998,63038.040010000004,4060.68,1625.8200000000002,51469.759999999995,1271.16,-1031.223968,-4259.338902000001
2026-04-21,1109.9070409999997,61433.103050000005,4060.68,1380.92,46052.84,1236.6000000000001,-753.3459220000001,-244.70510999999738
2026-04-22,1101.379569,60941.87726,4060.68,1196.06,40748.259999999995,1186.92,-513.753698,4452.791147999998
2026-04-23,1102.3119669999999,61006.772970000005,4060.68,1278.22,42408.759999999995,1182.6000000000001,-623.070014,2919.3081060000013
2026-04-24,1106.2540609999999,61072.42218000001,4060.68,1093.3600000000001,37504.34,1125.3600000000001,-371.12476200000003,7631.039364000003
2026-04-25,1200.839065,63714.41659000001,4060.68,1198.43,42069.28,1190.16,-418.40372999999994,5162.193582000003
2026-04-26,1235.7360449999996,64970.58821,4060.68,1434.64,47236.1,1170.72,-700.7728900000002,1138.1534579999998
2026-04-27,1181.8022669999998,63582.37853000001,4060.68,1713.51,50865.42,1276.5600000000002,-1128.382614,-3298.493406000003
2026-04-28,1121.8806619999998,61706.71078,4060.68,1376.18,48939.24,1235.52,-735.1242040000001,-2796.2923560000004
2026-04-29,1107.6088949999998,61076.909850000004,4060.68,1291.65,46920.399999999994,1159.92,-635.84259,-1322.5184700000016
2026-04-30,1103.7759409999999,61053.247970000004,4060.68,1210.28,49010.579999999994,1230.1200000000001,-530.459722,-3327.516893999999
2026-05-01,1117.859174,61248.26532,4060.68,1275.8500000000001,48594.02,1207.44,-604.488108,-2792.991863999997
2026-05-02,1194.2465809999999,63824.8721,4060.68,1253.73,47895.38,1121.04,-499.1346019999999,-301.3834200000022
2026-05-03,1233.4720319999997,64757.50699,4060.68,1230.8200000000002,50097.079999999994,1219.3200000000002,-429.53574400000014,-1734.3604980000014
2026-05-04,1172.465982,63374.176250000004,4060.68,1060.18,45045.88,1198.8000000000002,-261.01164400000005,2089.532249999998
2026-05-05,1114.661907,61750.532470000006,4060.68,1051.49,44644.079999999994,1231.2,-306.615494,1320.4212059999988
2026-05-06,1109.058531,61180.95247000001,4060.68,1142.3400000000001,44800.7,1158.8400000000001,-434.06650199999996,767.5572060000022
2026-05-07,1106.0237969999998,61257.85336000001,4060.68,1147.8700000000001,47125.399999999994,1210.68,-444.49287400000014,-1389.2130719999989
2026-05-08,1109.9506969999998,61239.710620000005,4060.68,1061.76,45803.56,1166.4,-325.0626740000001,-144.7179239999983
2026-05-09,1193.0667989999997,63979.38085,4060.68,1201.5900000000001,47460.78,1154.52,-430.3433580000001,221.5773299999989
2026-05-10,1231.8048649999998,64994.06386000001,4060.68,1474.14,54528.35999999999,1250.64,-757.6673300000001,-5781.740171999999
2026-05-11,1170.016645,63631.129870000004,4060.68,1625.8200000000002,61832.1,1290.6000000000001,-1022.3980900000001,-13695.644274000004
2026-05-12,1107.693104,61904.85510000001,4060.68,1545.24,59014.579999999994,1236.6000000000001,-976.019168,-12239.650020000003
2026-05-13,1103.3125239999997,61464.57845,4060.68,1629.77,59417.2,1243.0800000000002,-1093.778808,-12934.826190000002
2026-05-14,1101.6651519999998,61701.74549000001,4060.68,1368.28,53873.18,1249.5600000000002,-744.5507840000001,-7493.073197999999
2026-05-15,1107.0925129999998,61861.414670000006,4060.68,1329.5700000000002,51245.899999999994,1247.4,-687.2341460000001,-4880.733233999998
2026-05-16,1196.6611429999998,64551.50174000001,4060.68,1603.7,59697.64,1270.0800000000002,-966.3226060000001,-11012.676947999998
2026-05-17,1227.4070579999998,65635.4094,4060.68,1719.04,63108.84,1251.72,-1090.624036,-13488.887879999998
2026-05-18,1162.9419119999998,64334.529930000004,4060.68,1442.54,57724.719999999994,1284.1200000000001,-783.4867040000001,-9289.849686000001
2026-05-19,1109.3952599999998,62430.490540000006,4060.68,1613.97,60306.079999999994,1300.3200000000002,-1066.55292,-13095.426708
2026-05-20,1096.8905979999997,61835.70019000001,4060.68,1400.67,51968.32,1286.28,-792.740716,-5586.1471379999975
2026-05-21,1097.293453,61874.046630000004,4060.68,1280.5900000000001,49220.5,1215.0,-631.221626,-2945.1760259999996
2026-05-22,1101.4874249999998,61955.95934,4060.68,1459.13,46362.799999999996,1141.5600000000002,-866.62685,-168.79246800000067
2026-05-23,1195.477402,64850.31872000001,4060.68,1608.44,50566.119999999995,1140.48,-973.8552840000001,-2114.7085439999987
2026-05-24,1230.3248409999997,66253.65219000001,4060.68,1485.2,51008.1,1167.48,-773.9735220000001,-1540.0375379999975
2026-05-25,1167.7722129999997,64922.130020000004,4060.68,1386.45,46235.7,1100.52,-703.441546,2055.392195999998
2026-05-26,1110.044108,62885.983380000005,4060.68,1049.1200000000001,39577.299999999996,1108.0800000000002,-308.01013599999993,6945.179123999999
2026-05-27,1099.492838,62066.91799,4060.68,518.24,22428.64,925.5600000000001,393.857204,22676.527302000002
2026-05-28,1090.043133,62037.692200000005,4060.68,695.2,27731.579999999998,969.84,147.055814,17611.54356
2026-05-29,1097.3705999999997,62201.14274,4060.68,749.71,30007.079999999998,1007.6400000000001,81.17479999999993,15562.944852
