HorizonDays,Metric,BaselineTotalErrorPct,CandidateTotalErrorPct,BaselineWAPE,CandidateWAPE,PromoteCandidate
180,clicks,25.28,21.83,31.714799999999997,30.3631,0.88
180,impressions,9.59,0.69,26.557399999999998,25.6623,0.88
