ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,RecursiveWeight,HistoricalAnchorWeight,AnchorClicks,AnchorImpressions,StabilizedPredictedClicks,StabilizedPredictedImpressions
2026-05-19,1427.5167029999998,75514.37623799998,2172.3,1695.33,68123.51,1781.4299999999998,-360.39073300000007,-3215.112450000004,0.7020000000000001,0.07499999999999993,1384.9550228044586,53159.91010843381,1265.1204755381739,54050.11260381938
2026-05-20,1371.7952639999999,75428.23021699999,2172.3,1474.1999999999998,58872.45,1713.6,-137.80390400000005,4349.004825,0.7020000000000001,0.07499999999999993,1263.8621078532867,50051.55552779713,1209.7795096758477,53730.05996312193
2026-05-21,1334.365488,74784.681392,2172.3,1342.1699999999998,55516.369999999995,1620.78,-10.502367999999935,6663.919200000004,0.7020000000000001,0.07499999999999993,1174.0012478610483,50762.980824845334,1171.8480568765376,53368.160310697756
2026-05-22,1253.8530269999999,74673.50122299998,2172.3,1539.81,52138.45,1512.49,-384.80629700000003,9369.989174999999,0.7020000000000001,0.07499999999999993,1142.2624423371767,47258.89525007325,1104.61686091886,52998.132291175774
2026-05-23,1329.891615,76678.47899299998,2172.3,1675.08,56927.77999999999,1525.58,-464.51276499999994,6828.097425,0.7020000000000001,0.07499999999999993,1360.8830556566866,54289.67541897592,1184.8806747250387,54909.635497061005
2026-05-24,1438.1310239999998,77331.685531,2172.3,1541.4299999999998,57446.479999999996,1537.48,-139.00726400000005,6858.452475000002,0.7020000000000001,0.07499999999999993,1592.5472821046437,62076.93685619189,1292.0645776093015,55998.41216310323
2026-05-25,1255.3191269999998,77192.501964,2172.3,1445.04,52099.31999999999,1461.32,-255.30339699999985,11167.893900000003,0.7019395447524202,0.0750581300457498,1514.9152006675056,57546.44810965516,1138.9323153857206,55522.41079326595
2026-05-26,1176.530589,76224.98988099999,2172.3,1085.3999999999999,44568.159999999996,1468.46,122.63252100000008,16696.731225000003,0.6932199116862715,0.08344239260935425,1410.992459337202,53242.55689050973,1068.9920014063412,54405.980950369674
2026-05-27,1180.9681739999999,75768.275254,2172.3,545.9399999999999,25222.469999999998,1191.19,854.5440859999999,32320.85415,0.6846085956416907,0.09172250419068195,1286.9036889074207,50127.03361779806,1061.26554217486,53675.62963937778
2026-05-28,1148.025069,75406.003214,2172.3,722.52,31212.089999999997,1254.26,572.593241,27130.425149999995,0.6761042510830261,0.09989975857401337,1194.7568258099134,50837.233542587135,1025.9997546347256,53388.084424167886
2026-05-29,1137.225501,75432.12758499998,2172.3,779.2199999999999,33790.119999999995,1318.52,481.76048899999995,25023.986624999998,0.6677055491891379,0.1079754334719828,1161.8459017062187,47325.947138403266,1014.0178064456389,52848.01533077752
2026-05-30,1163.980125,76881.76775799999,2172.3,925.02,38802.399999999994,1376.83,321.563625,21909.08955,0.659411177645768,0.11595079072522313,1383.508911008028,54364.390313721815,1064.8173393476493,54505.89263287391
2026-05-31,1287.0278729999998,77318.601036,2172.3,1297.62,45493.63,1458.9399999999998,-14.253603000000076,16700.531100000004,0.6512198404404876,0.12382707649953113,1618.2240621619599,62159.80411935364,1192.6304718242502,55758.421804684964
2026-06-01,1193.475141,77789.485352,2172.3,1491.2099999999998,52399.619999999995,1586.27,-400.65555100000006,11338.840200000006,0.643130257660193,0.13160552148058358,1538.6018600567756,57620.96149278524,1114.6985926973034,55328.21596979119
2026-06-02,1111.0059629999998,77340.97805299998,2172.3,1457.1899999999998,52948.35,1506.54,-465.85259299999996,10572.215924999997,0.6351411652911167,0.13928734106623386,1432.3873756652079,53309.42791323255,1040.6149151860704,54302.67099784009
2026-06-03,1112.349186,77097.11553,2172.3,1435.32,52008.31999999999,1598.1699999999998,-434.61504599999995,11176.03425,0.6272513150213219,0.1468737355564212,1305.8273604121698,50188.10174795129,1022.4340761179877,53528.366450757596
2026-06-04,1097.076636,77199.001893,2172.3,1473.3899999999999,52503.35999999999,1588.6499999999999,-506.39699599999994,10839.449924999999,0.6194594740456517,0.15436589034071946,1211.7946952416485,50897.30778848011,996.1671494554033,53574.74305373084
2026-06-05,1131.387831,77460.23565199999,2172.3,1318.6799999999998,49574.06999999999,1486.31,-252.03514099999995,13436.807700000001,0.6117644248731015,0.16176497608355633,1177.9139664393992,47380.1933947922,1014.5981302952472,52951.47263756658
2026-06-06,1207.086057,78849.629689,2172.3,1428.03,54090.399999999994,1513.6799999999998,-297.31962699999985,10688.432025000004,0.6041649651365819,0.16907214890713282,1402.064684390006,54424.83376440214,1112.035553509679,54923.6154923684
2026-06-07,1329.780321,79309.83519099999,2172.3,1593.27,61083.74999999999,1526.77,-354.572531,5247.255975,0.5966599074050482,0.1762885505720691,1639.2725309111036,62226.84023777009,1246.6905764131259,56625.96595319167
2026-06-08,1258.318233,79514.04255099999,2172.3,1772.28,63589.88999999999,1524.3899999999999,-691.6275629999999,3324.8919749999986,0.5892480789979604,0.18341530865580735,1558.0105165412215,57681.237494205416,1183.6525362221948,55747.88746267361
2026-06-09,1235.1528,78267.25522499999,2172.3,1612.7099999999998,55822.13,1483.9299999999998,-508.0707999999998,8852.975625000001,0.5819283218020506,0.1904535367287975,1449.9108254861828,53363.51989308408,1146.3893635493175,54055.20719411111
2026-06-10,1226.251791,77796.09463499999,2172.3,1314.6299999999999,52347.74999999999,1524.3899999999999,-118.92870099999995,11386.222875,0.5746994920903647,0.19740433452849546,1321.32042218814,50237.49808574967,1112.2439148139017,52995.09826464066
2026-06-11,1222.201629,77563.75964999998,2172.3,1223.9099999999999,48772.35999999999,1550.57,-2.298919000000137,14170.121249999997,0.5675604603435531,0.20426878813119886,1225.738307110447,50945.898596139035,1087.2576648315626,52906.21815786713
2026-06-12,1174.180455,77592.67319,2172.3,1212.57,46661.159999999996,1456.56,-51.66000500000011,15930.387750000005,0.5605101110733811,0.21104797012174897,1191.0588539272821,47424.06885178704,1047.9377695792687,51960.48404694111
2026-06-13,1263.860901,79114.28552199999,2172.3,1207.7099999999998,48252.74999999999,1587.46,75.5610890000001,15685.188449999998,0.5535473426484309,0.2177429397611242,1417.239054065285,54473.720117323806,1163.0135534145977,54336.89689016142
2026-06-14,1357.7259689999998,79865.28620799999,2172.3,1268.4599999999998,50020.88,1527.96,120.12334099999995,14754.340799999998,0.5466710671219703,0.22435474315195164,1656.4791385525216,62281.057072724805,1286.306568735748,56599.39923263692
2026-06-15,1257.766299,79949.660523,2172.3,1586.79,52688.99999999999,1523.1999999999998,-442.7602889999999,12614.481675000003,0.5398802100619584,0.23088441340196303,1573.8710603747356,57729.98552101346,1204.513643441272,55406.98922421629
2026-06-16,1171.397862,78914.472866,2172.3,1385.1,48747.78999999999,1469.6499999999999,-287.57448199999993,15137.132849999998,0.5331737103831636,0.2373329707854196,1464.225933365226,53407.265371514746,1123.6102549410061,53651.149804524575
