ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,ClickAbsoluteError,ImpressionAbsoluteError,ClickAPE,ImpressionAPE
2026-07-18,465.318892,21682.23607,1650.0,560.15,22030.769999999997,1947.0,-34.11895899999998,760.561189999998,42.06446999999998,578.8341799999985,5.177383763277692,3.381083920807117
2026-07-19,475.82148400000005,22105.51206,1650.0,555.05,24887.73,1947.0,-19.65094299999997,-2173.380979999997,24.22718999999996,1654.077559999998,3.0093327718223533,8.552676432121359
2026-07-20,497.889908,22430.786501,1650.0,572.05,23327.19,1947.0,-13.053641000000017,135.74791700000011,16.09353000000002,103.31257400000011,1.9396197622585465,0.5699309133676199
2026-07-21,526.306688,21974.617624000002,1650.0,594.15,23562.48,1947.0,-4.738576000000036,-729.3227919999985,5.842080000000044,555.0598239999988,0.6779078683834101,3.0314489106409788
2026-07-22,537.644368,21964.246543,1650.0,522.75,21795.48,1947.0,67.47156399999997,1404.5094310000004,83.18411999999995,1068.9186820000002,10.970986016260158,6.311167234169655
2026-07-23,522.415716,21485.042152,1650.0,534.65,21495.09,1947.0,42.62404299999999,1161.0713840000008,52.550189999999986,883.6472480000007,6.776477424483304,5.290188171159092
2026-07-24,481.430816,21337.541028000003,1650.0,536.35,21378.84,1947.0,1.7969679999999824,1115.0446760000018,2.215439999999978,848.6180720000013,0.28478098256735057,5.108102436053602
2026-07-25,493.699116,21611.220834,1650.0,556.75,21323.039999999997,1947.0,-3.9390069999999877,1530.3257779999997,4.856309999999985,1164.6727159999998,0.6013751145038149,7.028881777739008
2026-07-26,497.22711200000003,22233.47181,1650.0,609.4499999999999,22453.92,1947.0,-45.81027399999997,946.29477,56.478419999999964,720.1889400000001,6.389159553695951,4.127487201789265
2026-07-27,507.07154399999996,22479.752966,1650.0,569.5,23807.07,1947.0,-2.044438000000023,-385.16117800000177,2.5205400000000284,293.13151600000134,0.30514000000000335,1.584484604867385
2026-07-28,520.81926,21765.507051,1650.0,560.15,22497.629999999997,1947.0,19.190604999999998,299.027266999999,23.659649999999996,227.57827399999923,2.9120796661608495,1.3017437104708318
2026-07-29,524.733564,21795.16461,1650.0,544.85,22712.46,1947.0,36.09039699999999,75.65237000000059,44.495009999999986,57.57614000000045,5.6303271450858015,0.3262194332978487
2026-07-30,504.27368,21577.419613000002,1650.0,512.55,21436.5,1947.0,44.17814000000002,1349.5496210000017,54.46620000000002,1027.0908620000014,7.326391376451079,6.165757583514107
2026-07-31,512.197136,21418.601872,1650.0,528.6999999999999,20212.62,1947.0,37.91882799999996,2634.9846239999983,46.74923999999995,2005.386527999999,6.096274598070734,12.767531572651139
2026-08-01,547.6319080000001,21751.363260000002,1650.0,558.4499999999999,21692.25,1947.0,46.404859000000016,1259.6494200000004,57.21147000000001,958.6712400000004,7.063144444444447,5.68717453376206
2026-08-02,494.68795200000005,21317.885645,1650.0,561.85,22865.91,1947.0,-7.369203999999973,-716.7810350000016,9.085319999999966,545.5147700000012,1.1148568835098294,3.070078517102541
2026-08-03,486.47334,21310.389531,1650.0,531.25,21338.85,1947.0,11.020444999999993,1129.1614270000005,13.586849999999991,859.3617940000004,1.7632711999999988,5.182466336892572
2026-08-04,485.25437600000004,20863.174587999998,1650.0,508.3,21218.879999999997,1947.0,29.559598000000026,707.1191959999986,36.44334000000003,538.161511999999,4.9430765886287675,3.2637857117811993
2026-08-05,503.330064,21008.197774,1650.0,549.9499999999999,21172.379999999997,1947.0,11.151771999999976,947.7497579999996,13.74875999999997,721.2962759999998,1.7236123647604287,4.3840496969164535
2026-08-06,491.457572,20912.855011,1650.0,614.55,22105.17,1947.0,-55.73206899999996,-306.69341300000104,68.71076999999995,233.41268600000083,7.7084466113416275,1.3588203921073718
2026-08-07,463.99504800000005,20479.800146,1650.0,498.09999999999997,19265.879999999997,1947.0,17.899454000000024,2593.362881999999,22.067820000000026,1973.7098039999994,3.0545143344709937,13.183353765205634
2026-08-08,473.414716,20538.132526,1650.0,506.59999999999997,20872.92,1947.0,19.64729299999997,714.7853420000007,24.22268999999996,543.9959240000006,3.2965256711409348,3.353852013901269
2026-08-09,473.575912,20914.014147,1650.0,560.15,23521.559999999998,1947.0,-26.18787399999997,-2026.2117010000004,32.286419999999964,1542.0726220000004,3.9738807283763236,8.436652550213507
2026-08-10,475.868832,21028.128968,1650.0,612.0,24600.359999999997,1947.0,-68.51546400000001,-3192.1243440000003,84.47112000000001,2429.4043680000004,9.51603666666667,12.708368637532136
