Model,Algorithm,MAE,RMSE,R2,TrainRows,TestRows,ValidationMethod,Selected
Next_Clicks,RandomForest,0.3887658135625143,2.468303733380524,0.7851068681053485,30308.25,4309.2,time_aware_holdout,1.1099999999999999
Next_Impressions,LightGBM,5.9849368917267745,28.376303499916922,0.7995012151379006,30308.25,4309.2,time_aware_holdout,1.1099999999999999
