HorizonDays,Metric,Candidate,InnerValidationRows,MAPE,MedianAPE,BiasPct,Selected
90,clicks,DirectHGBR,54.0,6.81024,7.975638999999999,-7.0766,0.7999999999999999
90,clicks,DirectGradientBoosting,54.0,7.600992,10.591965999999998,-8.0973,0.0
90,clicks,DirectRandomForest,54.0,8.25408,9.024109999999999,-8.8593,0.0
90,clicks,Recent28RunRate,54.0,35.10048,34.583847,14.3696,0.0
90,clicks,Recent56RunRate,54.0,35.533248,43.336656,35.1885,0.0
90,impressions,DirectHGBR,54.0,8.554368,10.276955999999998,8.8589,0.7999999999999999
90,impressions,DirectRandomForest,54.0,8.75328,10.068003,9.0774,0.0
90,impressions,DirectGradientBoosting,54.0,19.279104,23.466609999999996,20.042,0.0
90,impressions,Recent28RunRate,54.0,26.267904,27.696136999999997,7.472,0.0
90,impressions,Recent56RunRate,54.0,28.431168,32.34673099999999,27.7567,0.0
