HorizonDays,Method,ClickTotalErrorPct,ClickWAPE,ClickBiasPct,ImpressionTotalErrorPct,ImpressionWAPE,ImpressionBiasPct
180,RecursiveDailyML,25.28,26.676,-25.28,9.59,22.0898,9.59
180,StrategicDampedEnsembleML,29.74,28.799999999999997,-29.74,11.73,18.8947,-11.73
