OriginDate,imp_sum_7,imp_mean_7,imp_median_7,imp_std_7,active_mean_7,active_last_7,imp_sum_14,imp_mean_14,imp_median_14,imp_std_14,active_mean_14,active_last_14,imp_sum_28,imp_mean_28,imp_median_28,imp_std_28,active_mean_28,active_last_28,imp_sum_56,imp_mean_56,imp_median_56,imp_std_56,active_mean_56,active_last_56,imp_sum_90,imp_mean_90,imp_median_90,imp_std_90,active_mean_90,active_last_90,active_page_growth_28,recent28_active_pages,prev28_active_pages,impression_momentum_28,imp_per_active_page_28,top10_share_56,page_median_imp_56,page_p90_imp_56,known_pages,new_pages_28,new_pages_56,month,dow,month_sin,month_cos,doy_sin,doy_cos,TargetTotal,Recent28RunRate,Recent56RunRate,Recent90RunRate,TargetVsRecent28
2025-07-03,455777.13999999996,81567.65142857142,57997.619999999995,4151.770779586042,1645.7228571428568,1235.56,1220203.38,80986.95,77293.785,6391.312669696297,1992.87,1610.92,2678737.8,65457.87857142858,72949.93,7594.307963875655,2002.1942857142856,1876.8,6788824.8,110116.35464285713,107375.22,25567.01548200217,1683.3049999999998,1767.32,8979974.64,118547.52,85650.4,20863.70802358822,1729.1093333333333,1642.2,0.8370886581469648,2884.5,4957.92,0.5186057557419554,665.9514560582422,0.38069631138514576,16.95,482.1439999999998,6003.36,252.0,956.04,7.0,2.55,-0.4999999999999997,-0.8660254037844388,-0.02412414979013613,-0.8497622320214472,6832189.799999999,7552832.142857143,9092176.07142857,8891064.0,0.7538220620174174
2025-07-10,369545.54,66135.30857142857,46285.02,2410.601749373304,1583.102857142857,1187.3700000000001,1024851.2399999999,68021.1,64115.81,6837.329478123333,1934.098571428571,1548.0900000000001,2407996.92,58842.03,65814.51,9217.54324726981,1990.6914285714286,1803.6,6400345.2,103815.12303571428,100137.6,30584.525462856414,1617.7232142857142,1698.3899999999999,8767852.42,115747.22666666667,84719.8,24219.145179258172,1700.4564444444443,1578.15,0.9157531840140535,2869.5,4508.46,0.47867083387270465,601.7728750653424,0.3820571315434673,16.95,515.8160000000003,6050.88,236.88,757.02,7.0,2.55,-0.4999999999999997,-0.8660254037844388,-0.14644387188004754,-0.8411938409473549,7391309.399999999,6789465.0,8571890.892857144,8681042.0,0.9072032185157444
2025-07-17,334637.93999999994,59888.108571428565,41363.46,3622.945665350452,1417.03,1125.75,874425.6399999999,58037.100000000006,57066.01,3949.8965490312507,1797.1092857142858,1467.75,2113165.5599999996,51637.50428571428,54593.659999999996,9138.793738678129,1910.6507142857142,1710.0,5898642.0,95677.37767857141,91611.54000000001,33359.57281158405,1540.6264285714285,1610.2499999999998,8492835.48,112116.64,83504.08,27781.550712948858,1660.1297777777777,1496.25,1.0548023766468613,2809.5,3832.29,0.4419399120997844,539.3707581420181,0.3848156874073727,21.47,596.092000000001,6097.41,209.51999999999998,624.03,7.0,2.55,-0.4999999999999997,-0.8660254037844388,-0.26664268648137934,-0.820442664115771,8020125.899999999,5958173.571428571,7899966.964285714,8408748.0,1.1217260071189121
2025-07-24,321917.05,57611.52857142857,40431.96,1490.8933440616559,1429.2942857142857,1252.15,815282.57,54111.675,50867.135,2965.5134439856606,1704.9764285714289,1632.55,1856418.18,45363.60214285714,48590.86,6552.23541453675,1834.575,1902.0,5206158.0,84445.12232142857,81582.66,28836.699172705117,1494.1467857142857,1791.0499999999997,8184007.78,108039.70666666667,81593.6,30646.271998948385,1618.331111111111,1664.25,1.0438399584307612,2764.5,3810.5099999999998,0.4386519290575595,481.5508220293,0.38637447807000863,21.47,558.76,6143.94,174.95999999999998,544.05,7.0,2.55,-0.4999999999999997,-0.8660254037844388,-0.3829797862613726,-0.787809235279142,8443065.6,5234261.785714285,6972533.035714286,8102978.0,1.3441987214324738
2025-07-31,310012.43,55481.03142857142,39348.18,1291.687671701054,1337.3842857142856,1038.06,784703.6399999999,52082.100000000006,50147.51,1642.9052383854298,1657.267857142857,1353.42,1673811.8399999999,40901.41714285714,43604.58,3275.301066641174,1741.4628571428568,1576.8,4581631.2,74315.14892857142,68559.48000000001,21195.118214974285,1442.2285714285713,1484.82,7848672.63,103612.84000000001,76979.76,33044.70143583188,1564.5928888888886,1379.7,1.0231149245969837,2707.5,3807.54,0.4561411882865131,443.3238337950138,0.38070958133862887,20.339999999999996,507.0320000000005,6195.42,139.68,505.91999999999996,7.0,2.55,-0.4999999999999997,-0.8660254037844388,-0.4937702920717553,-0.7437661756725462,8768356.2,4719394.285714285,6136113.214285714,7770963.000000001,1.5482841775094625
2025-08-07,369935.01999999996,66205.01142857142,46522.35,3103.599144969121,1360.3257142857144,1105.21,844330.35,56039.625,51904.91,4760.698865732663,1615.955,1440.97,1674299.7599999998,40913.340000000004,43604.58,3394.6191191081048,1674.1885714285713,1678.8,4297154.399999999,69700.8675,62525.520000000004,17904.265072123377,1411.8799999999999,1580.87,7505953.37,99088.49333333333,70017.64,33363.38492961562,1508.3093333333331,1468.95,0.9860141139571355,2595.75,3787.74,0.5075749120144223,462.54422421265525,0.3753095397270342,20.339999999999996,470.92,6256.8,149.76,499.40999999999997,8.0,2.55,-0.8660254037844385,-0.5000000000000004,-0.5974096546034978,-0.68895134916656,8993611.799999999,4720770.0,5755117.5,7431637.0,1.587596197230537
2025-08-14,419173.3,75016.8857142857,52548.74999999999,3828.3784780270103,1439.5385714285715,1098.89,979881.7599999999,65036.4,62127.625,4901.891098340705,1677.146428571429,1432.73,1780201.2,43501.15714285714,45624.72,5448.610162371498,1680.9857142857143,1669.2,4098280.8,66475.09035714285,62525.520000000004,13860.828832559408,1383.6632142857143,1571.83,7239866.85,95575.8,63014.16,32938.43027307349,1458.6395555555557,1460.55,0.9989241857981846,2574.75,3708.54,0.6149763656000526,495.811884648995,0.3741806505791404,20.339999999999996,435.052000000001,6292.44,141.84,453.84,8.0,2.55,-0.8660254037844385,-0.5000000000000004,-0.6923968926459603,-0.6241586242551617,9147164.399999999,5019364.285714285,5488768.928571428,7168185.0,1.5186459013733955
2025-08-21,484375.70999999996,86685.76285714285,63211.59,3866.210305034518,1432.7571428571432,1077.56,1121989.43,74468.32500000001,72563.45,5944.108068513376,1720.533571428571,1404.92,1983720.8399999999,48474.381428571425,52900.75,7839.351458259399,1682.0314285714287,1636.8,4042251.5999999996,65566.28339285713,62525.520000000004,12114.592222670213,1354.7582142857143,1541.32,6954065.13,91802.84,62873.8,30412.79927225112,1416.0333333333333,1432.2,0.9930059685295711,2518.5,3649.14,0.78005927155917,564.8348838594401,0.3797896983948253,20.339999999999996,403.5760000000002,6347.88,148.32,417.57,8.0,2.55,-0.8660254037844385,-0.5000000000000004,-0.7773563313969317,-0.5503263766703353,9277011.0,5593197.857142857,5413729.821428572,6885213.0,1.3821864874898426
2025-08-28,629741.84,112701.05142857143,80744.84999999999,5427.2818805098195,1525.2442857142858,1221.3400000000001,1383464.65,91822.875,86327.225,11036.377430757575,1771.8721428571428,1592.38,2384260.98,58262.01642857143,61786.7,11749.047963338517,1738.7614285714287,1855.1999999999998,4271655.6,69287.27089285714,62525.520000000004,19476.582361137003,1340.742142857143,1746.9799999999998,6724917.34,88777.78666666665,62873.8,25450.90095119434,1394.7302222222222,1623.3000000000002,1.0048531855955676,2496.0,3573.9,1.0398483711287405,685.0024429086537,0.3806274185587433,20.339999999999996,405.03999999999996,6391.44,142.56,364.56,8.0,2.55,-0.8660254037844385,-0.5000000000000004,-0.8510575259934129,-0.46852389913693854,9176421.6,6722540.357142857,5720967.321428572,6658333.999999999,1.1375190915551536
2025-09-04,820668.0299999999,146869.9457142857,107732.43,8363.256941545329,1588.4414285714286,1260.05,1801058.41,119539.275,110371.79000000001,14901.641060495498,1865.128571428571,1642.8500000000001,2948915.5199999996,72059.96571428572,73506.35,18332.489239470233,1807.6478571428568,1914.0,4866542.399999999,78936.47642857142,66433.5,32305.996215689793,1341.3632142857143,1802.35,6782530.7700000005,89538.36,62873.8,26745.280000669656,1383.8946666666664,1674.75,1.059451025715111,2523.0,3426.39,1.2857365096916695,838.1620451843042,0.38052926529521247,22.599999999999998,448.59400000000034,6460.74,148.32,385.02,9.0,2.55,-1.0,-1.8369701987210294e-16,-0.9124330817159786,-0.379935915091723,8931128.399999999,8314611.428571429,6517690.714285714,6715377.0,0.8951238508182153
