HorizonDays,Metric,OriginDate,sum_7,mean_7,median_7,std_7,sum_14,mean_14,median_14,std_14,sum_28,mean_28,median_28,std_28,sum_56,mean_56,median_56,std_56,momentum_28_vs_prev28,last_value,trend_7_vs_28,origin_month,origin_dow,month_sin,month_cos,doy_sin,doy_cos,TargetTotal,Recent28RunRate,Recent56RunRate
90,clicks,2025-05-30,12956.579999999998,1566.18,1642.3999999999999,181.4099918495592,43358.84,2160.1342857142854,1903.9399999999998,1410.7356170539147,53073.78,1871.4985714285713,1803.1,844.5635327861635,115913.34,2715.3278571428577,1925.4849999999997,756.7063531111494,0.9705002088554721,1589.7599999999998,0.6188407609181031,5.0,3.88,0.4999999999999999,-0.8660254037844387,0.5535162244013373,-0.9820578584332469,125819.84999999999,215942.14285714284,200311.07142857145
90,clicks,2025-05-31,12761.839999999998,1542.64,1599.1999999999998,178.9212343405868,43768.2,2180.5285714285715,1903.9399999999998,1388.9001092481012,51798.72,1826.537142857143,1789.3249999999998,829.5027411254854,116196.06,2721.950714285714,1967.4499999999998,754.8086876994266,0.9165870583083504,1769.1599999999999,0.6245436798438262,5.0,4.85,0.4999999999999999,-0.8660254037844387,0.5382889306633165,-0.9925325235846898,125678.59999999999,210754.2857142857,200799.64285714284
90,clicks,2025-06-01,12816.439999999999,1549.24,1599.1999999999998,185.54053480881973,44426.27,2213.3135714285713,1942.58,1356.6898326591884,50531.560000000005,1781.8542857142863,1789.3249999999998,802.3820400506971,116621.06999999999,2731.906785714286,1976.1699999999998,752.8221790522374,0.8641673313257914,1974.32,0.6429441560877993,6.0,5.82,1.2246467991473532e-16,-1.0,0.5229023485704766,-1.002713482394091,125691.02999999998,205598.57142857145,201534.1071428572
90,clicks,2025-06-02,12584.39,1521.1900000000003,1599.1999999999998,138.25103910005484,44697.59,2226.8307142857147,1942.58,1343.474703285234,48669.53,1716.1950000000002,1789.3249999999998,738.2813936748161,117050.73,2741.971785714286,1994.6999999999998,749.9912871408874,0.7958074205496932,1865.7599999999998,0.6554560358400832,6.0,0.0,1.2246467991473532e-16,-1.0,0.5073610312600044,-1.0125977221519435,126326.08999999998,198022.5,202276.6071428572
90,clicks,2025-06-03,12651.73,1529.33,1599.1999999999998,148.70203819472448,42585.34,2121.5985714285716,1937.9799999999998,1288.683782241495,48285.590000000004,1702.6564285714287,1789.3249999999998,735.7247951714703,117759.38999999998,2758.5724999999998,2042.6599999999996,744.6453120613868,0.7744867332295198,1956.84,0.664203138037663,6.0,0.97,1.2246467991473532e-16,-1.0,0.4916695776577286,-1.02218231795268,126425.52999999998,196460.3571428572,203501.25
90,clicks,2025-06-04,13532.609999999999,1635.8100000000004,1622.3999999999999,419.3406670827285,40257.7,2005.6357142857146,1937.9799999999998,1036.2203453328025,49194.880000000005,1734.72,1840.625,742.0897911015504,119241.81,2793.2989285714284,2082.4449999999997,742.3154943984259,0.7837707180225945,2729.64,0.697316932168551,6.0,1.94,1.2246467991473532e-16,-1.0,0.4758326311172213,-1.0314644335602023,125648.08999999998,200160.0,206063.0357142857
90,clicks,2025-06-05,13370.63,1616.23,1622.3999999999999,438.503252960731,36174.81,1802.2264285714284,1903.9399999999998,479.46454573017684,49291.26,1738.1185714285714,1840.625,740.2543499158838,119590.56,2801.468571428571,2082.4449999999997,738.6254088259254,0.782304903471404,1632.08,0.687623168894445,6.0,2.91,1.2246467991473532e-16,-1.0,0.45985487804575487,-1.0404413222471673,125943.01999999999,200552.14285714284,206665.7142857143
90,clicks,2025-06-06,12646.269999999999,1528.67,1622.3999999999999,634.6419783256234,33480.65,1668.0035714285714,1877.2599999999998,492.166927879108,48800.670000000006,1720.8192857142863,1840.625,757.8142591216275,119251.10999999999,2793.516785714286,2082.4449999999997,744.608036362633,0.7715350467992896,857.4399999999999,0.6569090055525877,6.0,3.88,1.2246467991473532e-16,-1.0,0.4437410465175216,-1.049110327607788,127106.91999999998,198556.07142857145,206079.1071428572
90,clicks,2025-06-07,11914.63,1440.2300000000002,1622.3999999999999,724.0388274400871,32269.23,1607.6507142857142,1852.4199999999998,560.8360122647806,48423.840000000004,1707.5314285714287,1840.625,769.2192085379,118956.29999999999,2786.610714285714,2082.4449999999997,749.0274355442257,0.7637385534572311,1029.48,0.6237203080135734,6.0,4.85,1.2246467991473532e-16,-1.0,0.4274959048745165,-1.0574688843439077,128093.40999999999,197022.8571428572,205569.64285714284
90,clicks,2025-06-08,11179.349999999999,1351.3500000000001,1419.1999999999998,738.544555885812,31379.109999999997,1563.3049999999998,1817.4599999999998,587.398599151985,48115.740000000005,1696.667142857143,1840.625,776.3379771026514,118680.09,2780.1403571428577,2082.4449999999997,752.2715871465978,0.7578212181630113,1230.9599999999998,0.5889764555216235,6.0,5.82,1.2246467991473532e-16,-1.0,0.4111242603155117,-1.0655145190241109,129769.19999999998,195769.2857142857,205092.32142857145
90,clicks,2025-06-09,11338.599999999999,1370.6000000000001,1419.1999999999998,753.6982824901297,31283.91,1558.5621428571428,1817.4599999999998,582.3003958614559,48399.35,1706.6678571428572,1876.725,774.747525646522,119267.84999999999,2793.9089285714285,2092.7999999999997,748.819690939191,0.7591810988354732,2026.7599999999998,0.5938659920019587,6.0,0.0,1.2246467991473532e-16,-1.0,0.39463095747352606,-1.0732448508156551,130461.88999999998,196923.2142857143,206108.0357142857
