OriginDate,click_sum_7,imp_sum_7,ctr_7,ctr_mean_daily_7,ctr_std_daily_7,click_sum_14,imp_sum_14,ctr_14,ctr_mean_daily_14,ctr_std_daily_14,click_sum_28,imp_sum_28,ctr_28,ctr_mean_daily_28,ctr_std_daily_28,click_sum_56,imp_sum_56,ctr_56,ctr_mean_daily_56,ctr_std_daily_56,click_sum_90,imp_sum_90,ctr_90,ctr_mean_daily_90,ctr_std_daily_90,ctr_momentum_7_vs_28,ctr_momentum_28_vs_56,active_pages_28,active_page_growth_28,known_pages,new_pages_28,month,dow,month_sin,month_cos,doy_sin,doy_cos,FutureClicks,FutureImpressions,TargetCTR
2025-07-03,7456.719999999999,520888.16000000003,0.0179373629840232,0.0179675709774502,0.0010599843502648,17187.84,788272.98,0.0165804490723505,0.0167121370927725,0.0017126578504542,31562.399999999998,2796226.3,0.0167901539299591,0.0168149681513657,0.002473167574734,116105.57999999999,4186441.96,0.0180025856610705,0.0177999095469336,0.0055319596408787,208926.08,10580366.16,0.0199139270620479,0.019751864572185,0.0074155226382208,1.0683262975938057,0.9326523559483326,2999.88,0.9138857827476038,5033.12,276.5,7.0,3.42,-0.4999999999999997,-0.8660254037844388,-0.027435307604468537,-1.0097174756960725,120553.15999999999,9185499.62,0.0174509788940582
2025-07-10,6521.3099999999995,422337.76,0.0193477372234014,0.0193647800251014,0.0012183730570961,16167.359999999999,662072.04,0.0185688705416407,0.0186661755012758,0.0013386740250119,28757.6,2513610.82,0.017018119774007,0.0172660305249418,0.0018759382671379,111946.85999999999,3946879.54,0.0184113194394577,0.0182503164848953,0.0055064179508066,206033.9,10330439.98,0.0201133688789894,0.019958639345886,0.007371128173094,1.1368904132965765,0.9243291785777769,2984.28,0.9997672375933245,5072.96,259.91,7.0,3.42,-0.4999999999999997,-0.8660254037844388,-0.16654401115770112,-0.9995362110080336,134661.8,9937204.86,0.0180187288601394
2025-07-17,5471.36,382443.36,0.0179260008593167,0.0180691554588956,0.0021003284187384,13871.039999999999,564894.44,0.0186721080136671,0.0187169677419985,0.0018350931694461,25882.399999999998,2205848.26,0.0174536348207378,0.0177145524173855,0.0020384352846372,96103.13999999998,3637495.9,0.0171499134885622,0.0173641189746436,0.0027958639245469,199986.4,10006410.12,0.0201552002747614,0.0199384537529125,0.007389470033464,1.027064049605168,1.0177097880043608,2921.88,1.1515732368896927,5111.969999999999,229.89000000000001,7.0,3.42,-0.4999999999999997,-0.8660254037844388,-0.3032407022729412,-0.9748789303022692,152627.93,10782613.709999999,0.0188214875778945
2025-07-24,5016.5199999999995,367905.2,0.0170852708795635,0.017120653234383,0.0013756515579002,12130.56,526686.97,0.0175137805288784,0.0175949043466393,0.0018376105286848,23581.6,1937840.03,0.0181014064406544,0.0181305399239576,0.0016945016293519,85088.45999999999,3210464.1,0.0172040110960904,0.0173816877212416,0.0025336198692317,194066.34,9642543.82,0.020296611936994,0.019975153539986,0.0073719540815473,0.9438642757167898,1.0521619835950895,2875.08,1.1396050922317487,5150.98,191.97,7.0,3.42,-0.4999999999999997,-0.8660254037844388,-0.4355456392776394,-0.93610273839051,163611.62999999998,11351232.64,0.0191652780715099
2025-07-31,4971.7,354299.92,0.0175828433717964,0.0175792315263404,0.0007177301320305,11552.64,506932.44,0.0173293703594901,0.0173499423803617,0.0011208703707622,21186.399999999998,1747224.64,0.0180370453108994,0.0180334550611801,0.0016670777573766,75167.04,2825339.2399999998,0.0172696571474369,0.0174242116062729,0.0021952290628258,172377.94,9247445.969999999,0.0187985710393937,0.0185295132202333,0.005659456744676,0.9748183845372624,1.0444356339509862,2815.8,1.1169786791471656,5194.139999999999,153.26000000000002,7.0,3.42,-0.4999999999999997,-0.8660254037844388,-0.5615426851012119,-0.8837692205050255,171965.43,11788567.78,0.019396531815165
2025-08-07,5518.67,422782.88,0.016355818381293,0.0163690032401711,0.0006997073411948,12133.439999999999,545452.35,0.0169152630839339,0.0169741173832558,0.0009319477340679,20220.0,1747733.96,0.017209283957611,0.0172845108649475,0.0014896354018888,69793.07999999999,2649911.88,0.0170965232247647,0.0172752706949447,0.0016938607932997,157442.68,8843648.03,0.01795378326471,0.017787346598589,0.0044787491704609,0.9504066770924214,1.0065955359089007,2699.58,1.0764741244119187,5245.599999999999,164.32,8.0,3.42,-0.8660254037844385,-0.5000000000000004,-0.6794070581765269,-0.8186363090096772,178166.16999999998,12091411.42,0.0195926068323295
2025-08-14,5643.17,479055.2,0.0147602196991077,0.0147865319021539,0.0007404886049622,12910.08,633020.96,0.0155082384633835,0.0155777675711625,0.0010700517523054,20385.6,1858280.2,0.0163180880902675,0.0164638549757621,0.0014091953231977,65931.9,2527273.16,0.0169344179637471,0.0170892036965738,0.0018605337827916,151966.3,8530140.15,0.0179661936738518,0.0177087251688847,0.0045229645264218,0.9045311936948698,0.9636048977414506,2677.7400000000002,1.0905686065136146,5275.48,155.63,8.0,3.42,-0.8660254037844385,-0.5000000000000004,-0.7874317602640332,-0.741647306467898,184236.77999999997,12297854.36,0.0199200749032126
2025-08-21,6996.9,553572.24,0.0158374993659364,0.0158057000397013,0.0010350492054971,14619.84,724825.03,0.0153377291620296,0.0152961159709276,0.001034166833295,22294.399999999998,2070726.14,0.0160151163205,0.0161351166770917,0.0012934202696744,65373.299999999996,2492721.82,0.0170236805645645,0.0171328283005246,0.0018076405523427,135720.06,8193403.47,0.0167049298257003,0.0168698032255382,0.0022322315269957,0.9889094183889104,0.9407552179894688,2619.2400000000002,1.0841074335322842,5321.96,162.74,8.0,3.42,-0.8660254037844385,-0.5000000000000004,-0.8840522984514124,-0.653917224043575,190790.59999999998,12472425.9,0.0203399564795169
2025-08-28,9111.74,719704.9600000001,0.0158636116666474,0.0158078420607655,0.0014368783939277,18631.68,893742.65,0.0158522590367596,0.0158067710502334,0.001252187819551,26284.8,2488833.83,0.0157096225263058,0.0156922693106979,0.0011703004709811,67646.45999999999,2634187.62,0.0166696022965896,0.016862862185939,0.0018559804417946,131873.25999999998,7923417.46,0.0167845289827755,0.0168935552537274,0.0022514685871474,1.0098022177225277,0.9424113573195316,2595.84,1.0970415512465372,5358.48,156.42000000000002,8.0,3.42,-0.8660254037844385,-0.5000000000000004,-0.9678693432866263,-0.556716633092127,192949.12,12337189.04,0.0207955571701282
2025-09-04,12557.07,937906.3200000001,0.0167758332196759,0.0167804815964978,0.0013621465227467,25062.719999999998,1163515.6099999999,0.0163797630527707,0.0162941618286316,0.0014820722825831,33068.799999999996,3078253.92,0.0159797863588849,0.0157951388997796,0.0013718759158409,75936.54,3001034.48,0.0164250495382512,0.0165398248823636,0.0016140278164175,133327.02,7991298.63,0.0168254142693701,0.0169209806192655,0.0019028096571007,1.0498158637989805,0.9728912123930362,2623.92,1.156648367523837,5416.58,162.74,9.0,3.42,-1.0,-1.8369701987210294e-16,-1.0376689948926816,-0.4514532638148709,193561.55,12007405.959999999,0.0214345255634215
