Ensemble,Members,BiasCorrection,ImpressionMeanAPE,ImpressionMedianAPE,P90APE,ImpressionBiasPct,Selected
Top3MedianCTR,"CTRRidge,CTRGradientBoosting,Recent28CTR",0.9863469000000001,4.485024,4.693148,8.43717,0.0757,0.9199999999999999
AllWeightedCTR,"CTRRidge,CTRGradientBoosting,Recent28CTR,Recent56CTR,CTRRandomForest,Recent90CTR,CTRHGBR",0.98934255,4.566717000000001,4.369544,9.568965,1.4474,0.0
Top3WeightedCTR,"CTRRidge,CTRGradientBoosting,Recent28CTR",0.98069265,4.603778999999999,4.906748,7.975905,-0.7798,0.0
AllQ70CTR,"CTRRidge,CTRGradientBoosting,Recent28CTR,Recent56CTR,CTRRandomForest,Recent90CTR,CTRHGBR",1.0356874500000002,4.7168790000000005,2.2913940000000004,14.295645,4.0017,0.0
AllQ60CTR,"CTRRidge,CTRGradientBoosting,Recent28CTR,Recent56CTR,CTRRandomForest,Recent90CTR,CTRHGBR",1.00192155,4.754898,2.984615,12.39525,2.803,0.0
AllMedianCTR,"CTRRidge,CTRGradientBoosting,Recent28CTR,Recent56CTR,CTRRandomForest,Recent90CTR,CTRHGBR",0.9542001,5.141352,5.507676,9.20514,0.1284,0.0
