ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,DirectCalibratedClicks,DirectCalibratedImpressions
2026-05-19,1920.9792669999997,74808.634404,2172.3,2051.14,58391.58,1317.36,-257.8942860000001,-3257.9806160000044,1731.1358592821305,96046.82983130073
2026-05-20,1845.9960959999996,74723.29348600001,2172.3,1783.6,50462.1,1267.2,-98.61196800000003,4406.991556,1663.563002879832,95937.26059916466
2026-05-21,1795.6276319999997,74085.75913600001,2172.3,1623.86,47585.46,1198.56,-7.515455999999954,6752.771456000004,1618.172271337199,95118.73004164408
2026-05-22,1687.2837029999998,73975.618034,2172.3,1862.98,44690.1,1118.48,-275.36597400000005,9494.922363999998,1520.5355795470125,94977.31984527428
2026-05-23,1789.6072349999997,75961.857694,2172.3,2026.6399999999999,48795.240000000005,1128.16,-332.40363,6919.138724,1612.7468483184014,97527.45358515713
2026-05-24,1935.2627359999997,76608.95949800001,2172.3,1864.94,49239.840000000004,1136.96,-99.47308800000006,6949.898508000002,1744.007744890485,98358.26779995309
2026-05-25,1689.2566029999996,76471.07671200001,2172.3,1748.32,44656.560000000005,1080.64,-182.69417399999992,11316.799152000003,1522.3135050017263,98181.24004655112
2026-05-26,1583.232521,75512.60679800001,2172.3,1313.2,38201.28,1085.92,87.75538200000007,16919.354308,1426.7673981536775,96950.66021493405
2026-05-27,1589.2040859999997,75060.16053200001,2172.3,660.52,21619.260000000002,880.88,611.5086120000001,32751.798872,1432.148815061773,96369.76430813766
2026-05-28,1544.8732409999998,74701.274212,2172.3,874.16,26753.22,927.52,409.7456220000001,27492.164151999998,1392.1990265501938,95908.99004617656
2026-05-29,1530.3404889999997,74727.15443,2172.3,942.76,28962.960000000003,975.04,344.746038,25357.639779999998,1379.102493675821,95942.21766641112
2026-05-30,1566.3436249999997,76163.246564,2172.3,1119.16,33259.200000000004,1018.16,230.10975000000005,22201.210744,1411.5475704379178,97786.01682028249
2026-05-31,1731.9263969999997,76595.99728800001,2172.3,1569.96,38994.54,1078.88,-10.199826000000057,16923.204848000005,1560.766398153947,98341.62561435477
