page,HorizonDays,ForecastStartDate,ForecastEndDate,PredictedClicks,PredictedImpressions,PredictedCTR,PredictedTrafficValue,ReferenceClicks,ReferenceImpressions,ClickChangePct,ImpressionChangePct,ForecastReliability,ConfidenceLevel,HorizonType,ForecastMethod,ClickMethod,ImpressionMethod,PrimaryForecastType,ValidationStatus
https://demo.example.com/page-005,14,2026-08-17,2026-08-30,0.135344,7.824131,0.0172982788759544,0.0904,0.0,0.0,0.0,0.0,0.65776,High,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-006,14,2026-08-17,2026-08-30,0.5361840000000001,33.09271,0.01620248084850108,0.33899999999999997,2.1399999999999997,37.059999999999995,-69.53,-18.21,0.65776,High,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-007,14,2026-08-17,2026-08-30,0.275,19.181966999999997,0.01433638166513372,0.1808,1.0699999999999998,17.439999999999998,-68.75,0.75,0.65776,High,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-008,14,2026-08-17,2026-08-30,0.130592,13.761755,0.009489487350995567,0.0791,0.0,0.0,0.0,0.0,0.65776,High,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-009,14,2026-08-17,2026-08-30,0.129536,14.360562999999999,0.009020259163933895,0.0791,0.0,4.359999999999999,0.0,201.69,0.65776,High,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-010,14,2026-08-17,2026-08-30,0.21498399999999998,11.710909000000001,0.018357584368557552,0.13559999999999997,0.0,0.0,0.0,0.0,0.65776,High,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-011,14,2026-08-17,2026-08-30,0.13904,12.967311,0.010722346367724194,0.0904,0.0,0.0,0.0,0.0,0.65776,High,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-012,14,2026-08-17,2026-08-30,0.132968,15.335768,0.008670449370386928,0.0904,0.0,2.1799999999999997,0.0,544.36,0.65776,High,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-013,14,2026-08-17,2026-08-30,0.21964799999999998,14.049139999999998,0.015634266581441996,0.13559999999999997,0.0,13.079999999999998,0.0,-1.62,0.65776,High,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-014,14,2026-08-17,2026-08-30,0.132088,15.168216,0.008708209324023341,0.0904,0.0,4.359999999999999,0.0,218.66,0.65776,High,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-015,14,2026-08-17,2026-08-30,0.13631200000000002,14.408876999999999,0.009460279243136022,0.0904,0.0,3.2699999999999996,0.0,303.61,0.65776,High,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/,30,2026-08-17,2026-09-15,8745.813648000001,102102.651049,0.08565706725678264,5615.207299999999,7485.719999999998,72732.43,42.06,28.58,0.5385599999999999,Medium,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-002,30,2026-08-17,2026-09-15,0.307296,18.369435,0.016728658230370178,0.1921,0.0,1.0899999999999999,0.0,1443.65,0.5385599999999999,Medium,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-003,30,2026-08-17,2026-09-15,0.2894319999999999,34.927095,0.008286747008304009,0.1808,0.0,1.0899999999999999,0.0,2835.05,0.5385599999999999,Medium,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-004,30,2026-08-17,2026-09-15,0.292248,34.062084,0.008579862582688717,0.1921,0.0,1.0899999999999999,0.0,2762.36,0.5385599999999999,Medium,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-005,30,2026-08-17,2026-09-15,0.30712,18.414536,0.016678128626211382,0.1921,0.0,1.0899999999999999,0.0,1447.44,0.5385599999999999,Medium,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-006,30,2026-08-17,2026-09-15,1.048696,69.152447,0.015164987581712043,0.6779999999999999,3.2099999999999995,100.27999999999999,-60.28,-36.84,0.5385599999999999,Medium,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-007,30,2026-08-17,2026-09-15,0.453992,38.433429999999994,0.011812424756260372,0.2938,1.0699999999999998,57.769999999999996,-48.41,-39.06,0.5385599999999999,Medium,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-008,30,2026-08-17,2026-09-15,0.294976,32.862326,0.008976114472237905,0.1921,0.0,0.0,0.0,0.0,0.5385599999999999,Medium,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
https://demo.example.com/page-009,30,2026-08-17,2026-09-15,0.291456,34.281996,0.008501722011752174,0.1921,0.0,15.259999999999998,0.0,105.77,0.5385599999999999,Medium,Operational,RecursiveDailyML,RecursiveDailyML,RecursiveDailyML,ML,Backtested-Operational
