ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,ChampionClicks,ChampionImpressions
2026-05-19,1973.8502560000002,86100.50374799999,2005.1999999999998,1779.05,73363.78,1616.7600000000002,-300.87666700000005,-4501.157430000006,1793.7450000000001,85634.96400148803
2026-05-20,1896.8033280000002,86002.28118199999,2005.1999999999998,1547.0,63401.1,1555.2,-115.04729600000003,6088.606755,1752.2875000000001,85864.96283689472
2026-05-21,1845.0485760000001,85268.515232,2005.1999999999998,1408.45,59786.86,1470.96,-8.768031999999945,9329.486880000006,1663.1925,87171.23037889115
2026-05-22,1733.722704,85141.749058,2005.1999999999998,1615.85,56149.1,1372.68,-321.260303,13117.984844999999,1587.7450000000001,86507.1561719519
2026-05-23,1838.8624800000002,87427.798478,2005.1999999999998,1757.8,61306.84,1384.5600000000002,-387.80423499999995,9559.336395,1749.97,92092.91391859409
2026-05-24,1988.5268480000002,88172.576026,2005.1999999999998,1617.55,61865.44,1395.3600000000001,-116.05193600000005,9601.833465000003,1951.0775,93492.92142630125
2026-05-25,1735.749904,88013.88074400001,2005.1999999999998,1516.3999999999999,56106.96,1326.24,-213.1432029999999,15635.051460000004,1938.7175,86434.84010656674
2026-05-26,1626.8077280000002,86910.736126,2005.1999999999998,1139.0,47996.479999999996,1332.72,102.38127900000006,23375.423715000004,1793.7450000000001,81551.75039694137
2026-05-27,1632.9436480000002,86389.996084,2005.1999999999998,572.9,27162.66,1081.0800000000002,713.426714,45249.19581,1752.2875000000001,81536.14790566242
2026-05-28,1587.3926880000001,85976.938244,2005.1999999999998,758.1999999999999,33613.02,1138.3200000000002,478.036559,37982.59521,1663.1925,81822.29550536924
2026-05-29,1572.4599520000002,86006.72490999999,2005.1999999999998,817.6999999999999,36389.36,1196.64,402.20371099999994,35033.581275,1587.7450000000001,81901.59762451568
2026-05-30,1609.4540000000002,87659.585668,2005.1999999999998,970.6999999999999,41787.2,1249.5600000000002,268.46137500000003,30672.72537,1749.97,88207.6269165887
2026-05-31,1779.594096,88157.657256,2005.1999999999998,1361.7,48993.14,1324.0800000000002,-11.899797000000063,23380.743540000007,1951.0775,88792.36243402137
2026-06-01,1650.237232,88694.553392,2005.1999999999998,1564.85,56430.36,1439.64,-334.4922490000001,15874.37628000001,1938.7175,82585.00417969249
2026-06-02,1536.2057760000002,88183.171238,2005.1999999999998,1529.1499999999999,57021.299999999996,1367.2800000000002,-388.922807,14801.102294999997,1793.7450000000001,85792.76173373571
2026-06-03,1538.0630720000001,87905.12238,2005.1999999999998,1506.2,56008.96,1450.44,-362.843754,15646.447950000002,1752.2875000000001,85730.37205468578
2026-06-04,1516.945472,88021.291878,2005.1999999999998,1546.1499999999999,56542.08,1441.8000000000002,-422.771804,15175.229895,1663.1925,85534.30425282431
2026-06-05,1564.3881120000003,88319.147192,2005.1999999999998,1383.8,53387.46,1348.92,-210.41465899999997,18811.53078,1587.7450000000001,84647.11154438126
2026-06-06,1669.0572640000003,89903.316094,2005.1999999999998,1498.55,58251.2,1373.76,-248.2209729999999,14963.804835000004,1749.97,90327.10350243899
2026-06-07,1838.7085920000002,90428.03638599999,2005.1999999999998,1671.95,65782.5,1385.64,-296.01926900000007,7346.158365,1951.0775,90828.59541191999
2026-06-08,1739.8968160000002,90660.870946,2005.1999999999998,1859.8,68481.42,1383.48,-577.413837,4654.848764999998,1938.7175,85509.30044658354
2026-06-09,1707.8656000000003,89239.30034999999,2005.1999999999998,1692.35,60116.14,1346.76,-424.1691999999999,12394.165875,1793.7450000000001,82908.12526685349
2026-06-10,1695.5580320000001,88702.08920999999,2005.1999999999998,1379.55,56374.5,1383.48,-99.28909899999995,15940.712025,1752.2875000000001,83001.78510342352
2026-06-11,1689.9578080000003,88437.18389999999,2005.1999999999998,1284.35,52524.08,1407.24,-1.9192810000001144,19838.169749999997,1663.1925,82903.58951521716
2026-06-12,1623.55816,88470.15074000001,2005.1999999999998,1272.45,50250.479999999996,1321.92,-43.128995000000096,22302.54285000001,1587.7450000000001,83071.5714743576
2026-06-13,1747.5607520000003,90205.073212,2005.1999999999998,1267.35,51964.5,1440.72,63.08311100000008,21959.26383,1749.97,88911.36364741412
2026-06-14,1877.349488,91061.354368,2005.1999999999998,1331.1,53868.64,1386.72,100.28645899999997,20656.077119999998,1951.0775,91117.15615625124
2026-06-15,1739.1336480000002,91157.556858,2005.1999999999998,1665.1499999999999,56742.0,1382.4,-369.64391099999995,17660.274345000005,1938.7175,83150.56448824739
2026-06-16,1619.7106240000003,89977.249436,2005.1999999999998,1453.5,52497.62,1333.8000000000002,-240.08511799999997,21191.98599,1793.7450000000001,84978.32021716765
2026-06-17,1572.4247840000003,89344.934172,2005.1999999999998,1455.2,55094.62,1356.48,-280.3248629999999,17865.280229999997,1752.2875000000001,84046.43266110719
2026-06-18,1545.7459360000003,88904.217224,2005.1999999999998,1227.3999999999999,48190.52,1328.4,-58.12142699999996,24883.224660000003,1663.1925,83721.4050733339
2026-06-19,1469.9438880000002,88600.48395000001,2005.1999999999998,1071.85,43809.92,1277.64,46.81940900000006,29315.314875000004,1587.7450000000001,84098.22718655533
2026-06-20,1561.4943680000001,89759.506154,2005.1999999999998,1120.3,45543.54,1263.6000000000001,69.33417399999993,28455.38398500001,1749.97,88627.84940176453
2026-06-21,1735.5072,90080.98945200001,2005.1999999999998,1241.0,48348.299999999996,1305.72,81.49959999999994,25726.970430000005,1951.0775,91287.74310058948
2026-06-22,1630.2867840000001,90318.899212,2005.1999999999998,1246.95,51012.92,1334.88,-10.361987999999993,23076.778830000007,1938.7175,85074.00807990541
2026-06-23,1511.2864480000003,88674.243076,2005.1999999999998,1224.0,46484.34,1301.4,-82.47976099999993,26513.34609,1793.7450000000001,82557.00691753626
2026-06-24,1515.2177600000002,88222.47646600001,2005.1999999999998,1128.8,44607.64,1254.96,22.63443000000004,28135.280565000005,1752.2875000000001,83019.73603751352
2026-06-25,1530.9453600000002,87879.041952,2005.1999999999998,1056.55,42776.02,1266.8400000000001,112.76310500000007,29802.151680000006,1663.1925,82754.77351669769
2026-06-26,1495.352096,87760.025706,2005.1999999999998,953.6999999999999,40520.06,1213.92,193.95357799999996,32116.819665000003,1587.7450000000001,82780.38578121441
2026-06-27,1611.5031520000002,89417.573704,2005.1999999999998,1080.35,42494.76,1225.8000000000002,152.73631100000006,31427.647860000005,1749.97,89229.49184863901
2026-06-28,1751.880816,89962.55087600001,2005.1999999999998,1167.8999999999999,44919.28,1226.88,173.063163,29298.985590000008,1951.0775,91268.38668209156
2026-06-29,1649.1799520000002,90349.355658,2005.1999999999998,1101.6,45738.56,1278.72,160.59871099999992,28754.091345,1938.7175,83766.41633612882
2026-06-30,1517.728128,88800.836742,2005.1999999999998,1167.05,42431.06,1149.1200000000001,-16.27589600000006,30965.099655,1793.7450000000001,84940.14357689022
